label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state
capture_only_v5_codex_trial_00196,2.053247982386326,0.9320169598188774,0.6651415161142943,0.4881357415362096,0.17300074823907047,0.0,0.012902543109529863,7.587127715269053e-08,228006.32114484385,59310048914923.195,5.150774624349236e+19,1.323454190961288,0.6701786186193371,0.2112357537293501,3.0937904850489537,1.0585320255016402,0.5998758551014695,1.5947685473498037,2.700190028557845,1.9233206658775406,79.86286554255415,1.2655259442060163e+19,1.3271473578497505e+19,1.11001698532385e+19,-0.07758952243846445,2.7202088463443923,6.487811616452508,0.0008327870113786709,0.0917949255038859,0.0917949255038859,12.0,22,0,4.2934800659537927e-19,3.1005487058908165e-105,4.044186665569211e-87,2.1217313231449452e-105,0.6843083352033176,9.528933055046086e-20,3.516007258845266e-19,2.7133281329677015e-20,700.0,800.0,1.35,108.6981555254626,146.88719814311435,185.86375521683973,225.7949674025938,28.83528998290845,38.18904261765175,38.97655707372539,78.90776925947947,39.93121218575408,0.75,350.0,2.0772658589381603,1.5371997713687646,1.214841307489822,2.8,69.98628621178187,68.13233805218569,57.84376957271249,0.6786748700748121,0.044215701113881165,63.280117459475385,85.44516379478928,84.92890474287681,80.79451367515921,57.01821300191323,7.740940215721977,1.005528408052245,21.71283065561374,24.04392988923739,34.41467821032276,89.35809230662129,89.99662099629569,29.00940413477225,7.580095573031998,8.210010270169677,11.553799450582824,30.619582312509273,74.04010685427365,80.14217100337737,capture_only,2.0930319047047408,1.5232130782896556,0.5362796353598157,0.001447026792649052,0.00010822395088780218,0.7162443821464106,0.5189053018459048,0.010019275855796974,0.0010578161939698736,8.976657871089956e-05,1.0032526696246586,1.0103204877391372,6.207851227899643,6.30051898028728,7.2052725816049215,9.961785796511236,9.959055078639551,7.258352776359515,6.258496250032302,6.3421796851076,7.470424844241346,12.35218540972171,18.217895113810403,18.852210821991672,0.07888503396755435,0.03912428771144846,0.021053372412613226,0.0,0.013670418006857936,0.1714110255714436,2.4654744830084256,196,TrialState.COMPLETE
capture_only_v5_codex_trial_00197,2.0580724806887862,0.9303427434173741,0.6709580117159742,0.4954206572495741,0.1779678609532308,0.0,0.0101919856117596,7.67632992737629e-08,226772.13111114482,59761289500029.96,5.118727262319887e+19,1.2822824981630276,0.6686168482851047,0.20751367795320932,3.221451708175908,1.0487109867745807,0.5442878002046607,1.5809410901154413,2.63543761005475,1.9724067250444965,78.96077702089873,1.2779971635244034e+19,1.3327413837614442e+19,1.138747083539967e+19,-0.06831860576569727,2.6521481738540507,6.625745472539853,0.0008217067656986794,0.0904844564343627,0.0904844564343627,12.0,22,0,4.2934800659537927e-19,3.0908880767135e-105,2.8354449809907646e-87,1.48589923661186e-105,0.48073537434322006,9.469645435291791e-20,3.503849558405171e-19,2.6287380175823238e-20,700.0,800.0,1.35,107.0207207354067,143.49773769592682,178.9856990061881,211.03687793895995,28.059943714507966,36.47701696052012,35.487961310261284,67.53914024303313,32.05117893277185,0.75,350.0,1.9719254036862468,1.470663449664616,1.1790711722262444,2.8,70.46293532933815,68.66792785022935,58.48921614720796,0.7305691445136172,0.04960903397189662,63.862148456494126,85.683708105627,85.19718980260731,81.12513626267668,57.67825791662549,7.443231065490154,1.0115758142293843,21.385377594389464,23.650056172967627,33.89342587210961,89.39171083566771,90.07662016118216,28.556042971169614,7.464105707201224,8.06702027079042,11.365105355077882,30.205688158944557,74.55735423906317,80.35888461915775,capture_only,2.0336966661553517,1.4751168757911735,0.5182413560190259,0.001418933003519616,0.0001060382887187972,0.6959314856706477,0.5024267437178731,0.009674247609220702,0.0010419130478891354,8.819428734474853e-05,1.0033259676439017,1.008389495820049,6.117990410117033,6.2068991010118415,7.099116624663417,9.876301086815165,9.873664766557184,7.146073469557442,6.156254701501117,6.2333631828844025,7.334670275391099,12.106379676820726,17.99837278239878,18.629451372325523,0.08847748185339957,0.03719102249777834,0.019376736951666838,0.0,0.006944853970409692,0.17396692907621722,2.4735448942165106,197,TrialState.COMPLETE
capture_only_v5_codex_trial_00142,2.0586839838386304,0.9444445441180592,0.622884989667713,0.47656821341612676,0.13832998135342156,0.0,0.034455840984364126,7.189322795531254e-08,192420.9223512746,56426624314231.82,5.4128481698417885e+19,1.4838445529980482,0.6404832315723153,0.20012053755104675,2.68782456134576,0.9685474539251911,0.6798499320600232,1.8910434736985733,2.747465753086466,1.8931836517639193,86.71599716006696,1.0058796244131443e+19,1.063455915490869e+19,8.597295679339521e+18,-0.09235762805648465,2.782186924809455,6.297253630181275,0.0009981188680055928,0.10292177691358331,0.10292177691358331,12.0,22,0,4.2934800659537927e-19,3.178448704286312e-105,2.5943845459283786e-86,1.373689511500151e-104,4.321886679019408,1.0013769114207309e-19,3.3912671075820563e-19,3.043842218421822e-20,700.0,800.0,1.35,119.35061598278661,166.16741796508114,224.03617293985477,315.04937409075086,32.634618822719645,46.816801982294535,57.86875497477362,148.88195612566972,91.0132011508961,0.75,350.0,2.6396962554109398,1.8959756247578943,1.4062433309612448,2.8,70.52015255882495,68.80394084950058,59.21679155058093,0.68735103725287,0.019533032675130867,64.4138503900487,85.54316248347376,85.05490895110954,81.17565757821474,58.23215124049657,8.467053212063743,1.063936083809911,20.80000004646842,23.013538622638826,32.745111219200595,88.778933471383,89.43506482105134,27.60101741566283,7.254180743125332,7.859527196788195,10.957822591040564,28.956172741705917,72.37763777540965,79.04565396273799,capture_only,2.2898680158587106,1.692149584150144,0.6087795186856136,0.0017608306486578767,0.00013420673748067326,0.7823335450436629,0.5753167075414404,0.011462836943727794,0.0012368891627063628,0.00010689880525855109,1.0024776958511288,1.018651428226192,6.389979378847932,6.490370943710465,7.429317711532861,10.531954660715455,10.545267939536053,7.47437118597313,6.420323228357261,6.510247144560817,7.661485348096593,12.800213180853783,19.154072123363886,19.890303054646846,0.06631526864852724,0.04446915876943418,0.028864899684229728,0.0,0.0636250619903143,0.17515934964550703,2.4502629221798955,142,TrialState.COMPLETE
capture_only_v5_codex_trial_00194,2.060330942842476,0.942003545471584,0.6738192945636954,0.4849883018888138,0.1723252566741885,0.0,0.01340075952026024,9.402921121627832e-08,215141.18537947163,66616383270259.23,5.156686909837654e+19,1.250215535012878,0.6659389223790904,0.2508126133417524,3.069184183290432,1.151174049065922,0.5962474426905828,1.5717925440313965,2.899035288438903,1.7159892149807163,80.33628290412499,1.3348414753711163e+19,1.4053927156343204e+19,1.1647276108733663e+19,-0.08157332727338572,2.946708130656442,5.8630497451864185,0.000803311384551937,0.09077902933016883,0.09077902933016883,12.0,22,0,4.2934800659537927e-19,3.1023276685806144e-105,2.384764919272882e-86,1.2513975560701109e-104,4.033737534380609,9.539870783199659e-20,3.4944926152773493e-19,2.5632076171074715e-20,700.0,800.0,1.35,108.9244567955465,145.25595773213297,180.5336965247501,215.02167795679048,28.58817389142152,36.331500936586465,35.27773879261713,69.76572022465751,34.487981432040385,0.75,350.0,1.9740440694635797,1.4802950688832517,1.1910334862462215,2.8,68.26960101208198,66.14470141144879,55.26520247321122,0.5566007069717438,0.03764440777474821,61.00221503260885,84.74834817473138,84.08097118297255,79.66506436696785,54.72958818357884,6.8613518826947635,0.8312002362994955,23.33916281806551,25.944205534178487,36.965860832633275,89.78590704539808,90.31571717268464,31.233193581629276,8.163251363501416,8.92360094632367,12.531115083638289,32.720258660932636,75.16098995693301,80.67313552920709,capture_only,2.1732649142470817,1.5924256886948631,0.5596968835177301,0.0013791857733774318,0.00010272861271223953,0.7445985625753977,0.5439358577280979,0.010437711038943483,0.0010421805355857183,8.634324032479644e-05,1.002314135987423,1.0194743143490068,6.217971255605422,6.318667365677868,7.209239810637779,9.656113061856805,9.646535690927905,7.293130739434353,6.343801899191815,6.451492012975703,7.613733761108403,12.539715444449588,17.976615979836644,18.495577891253085,0.07401211427978253,0.04074064765358828,0.019084905174213178,0.0,0.010259945350978801,0.16001907400926407,2.3657445307099745,194,TrialState.COMPLETE
capture_only_v5_codex_trial_00110,2.060862082017557,0.9164419008118899,0.6966699332859304,0.4782333619403836,0.19424634342386787,0.0,0.03431164093425501,1.4538495471422432e-07,269915.79444957554,60766954013628.91,5.41105122458258e+19,1.4004676336084394,0.6371390890273662,0.22574249419100176,2.3265663268253793,1.1801448738231626,0.695695982005552,1.7684818464431096,2.761561569202098,1.5131801100410613,75.76771375075339,1.5157011232001677e+19,1.6023979447327648e+19,1.3018872687591856e+19,-0.09019699922443457,2.7857854335940004,5.151629267689829,0.0008723141705757581,0.09002815273168283,0.09002815273168283,12.0,22,0,4.2934800659537927e-19,3.1779210733374202e-105,2.139483003045886e-86,1.1327545267891407e-104,3.5644514154013693,1.0010444765477773e-19,3.373348543842483e-19,2.872798587437571e-20,700.0,800.0,1.35,103.16733899485195,139.55538175417342,176.54992349372412,215.93126188017632,27.39962524409856,36.38804275932148,36.9945417395507,76.3758801260029,39.3813383864522,0.75,350.0,2.093019593060855,1.5472800773856137,1.2230606369413244,2.8,68.5611228431482,66.17965240024783,55.50833447240031,0.5662467689743123,0.036957011102966134,61.19430565974604,84.91891696535436,84.16843975656023,79.84550007029654,55.06848463683174,6.955314210567684,0.7951771445923705,23.11818678410538,25.93896828984247,36.80092005845533,89.89821513434042,90.43733434958096,31.133408587843356,8.101896970599114,8.917034390803474,12.48983836999299,32.704015648256906,75.44433037097542,81.08438082512555,capture_only,2.191743976179163,1.6396363999885708,0.587809616121842,0.0014836011326856097,0.00011075807234424885,0.7510718948001844,0.5601724533995193,0.0110295707758022,0.0011195198298032702,9.34261331504116e-05,1.0012343004316253,1.011227814567064,6.128946396567255,6.241742909921128,7.102935853022504,9.534054495552626,9.525597881243758,7.177252355492614,6.228114169246354,6.354353399236766,7.464893614543407,12.216470144135558,17.59923589862709,18.12034860414893,0.05975383295726656,0.03909118799580065,0.01645662303540112,0.0,0.014867209761407138,0.15946249590388534,2.0593385864287015,110,TrialState.COMPLETE
capture_only_v5_codex_trial_00164,2.0620785032093027,0.9407353010065522,0.6124579684611103,0.4815782525865104,0.12451261199628087,0.0,0.01823170041383266,9.936261702893209e-08,170733.83161470262,55991983803794.31,5.21436832222913e+19,1.4332240661245568,0.6809087479299301,0.22294355010206873,2.0605096162082606,0.9254161129034391,0.6437213612050949,1.533295404174718,2.7243586698565836,1.665927685112217,90.08956523352612,8.895127975303643e+18,9.380317139964815e+18,7.695871766561261e+18,-0.08595969912431131,2.782230328705211,5.407318840967883,0.0007207453216746497,0.07325070066343492,0.07325070066343492,12.0,22,0,4.2934800659537927e-19,3.1196303486699843e-105,2.4314638546286783e-86,1.278497298947627e-104,4.098233303483211,9.64658139612389e-20,3.580312301994598e-19,2.9387752690220135e-20,700.0,800.0,1.35,123.2010869443584,170.29047879535688,230.13895416884256,323.42832879343746,33.11152171083228,47.08939185099848,59.848475373485684,153.13784999808058,93.2893746245949,0.75,350.0,2.6252067803550156,1.8992742934389826,1.4053610783168533,2.8,70.95690846109731,69.13373499306248,59.88450080524482,0.8904199909617817,0.027011024827409528,64.81667353686734,85.38056440125615,84.75076732077075,80.79149979914003,58.680558736045484,10.913081078050451,1.4840450154830074,19.84041548304489,22.148165857225578,31.50203719640917,87.63019964345014,88.47355395752527,26.60168040669069,6.928842700528191,7.623822659515447,10.660133012008913,27.37504987970544,68.06400808144296,76.4770909267144,capture_only,2.416029054495575,1.7886675760417303,0.6312816366619736,0.0018230755715398276,0.00013953005971696338,0.8277691953640729,0.6113036250092747,0.011695700234769178,0.0012293868174894059,0.00010929889425499672,1.0013728915691986,1.0257297604233888,6.786647001362236,6.929431573670218,7.982180361684038,11.477557290016568,11.499295487587617,8.049400298291403,6.862823702851589,7.014106394704527,8.333830618871586,13.932695684014316,21.02168145368909,22.038754758908343,0.06668093793247679,0.05868082317441324,0.04585725134907584,0.0,0.06451198922337614,0.16152906948288445,2.1490342573651855,164,TrialState.COMPLETE
capture_only_v5_codex_trial_00139,2.0631426100015178,0.9268211457699165,0.6613754622321781,0.4749288018336591,0.1725331991730027,0.0,0.023606187082251404,7.68330547030029e-08,214423.09917050626,65211142637541.04,5.279298171992376e+19,1.3277387290124174,0.6662257895606634,0.24482937204316602,2.520903012208586,0.9607423150966165,0.7192900983402801,1.5914433990103827,2.757681165300226,1.6965719401800337,79.93662338241433,1.2888965049699168e+19,1.366428101071318e+19,1.0993818210160427e+19,-0.09443823350341843,2.7866272685960567,5.703590701079943,0.0008119775406319291,0.085751524825098,0.085751524825098,12.0,22,0,4.2934800659537927e-19,3.138993236701285e-105,2.7519529069062603e-86,1.4503205239150896e-104,4.620336568291581,9.766701618185896e-20,3.511109996600965e-19,2.7228558345732073e-20,700.0,800.0,1.35,109.22798169083602,149.56520166013286,194.7771492818272,253.471364358389,29.291358308421692,40.33721996929684,45.21194762169435,103.90616269825614,58.69421507656179,0.75,350.0,2.320571710972617,1.69472150971567,1.3013403537990789,2.8,68.50723426823278,66.54866477583671,56.33455667971048,0.6161945376707305,0.0360257283030534,61.82407988383606,84.49711368220633,83.87819365087574,79.58688802277,55.285377582862225,8.223783165341743,0.9899172592931917,22.281009697693044,24.773445437310656,35.17317789405109,88.65512577995936,89.2405453355449,29.696864424164662,7.790286217487595,8.50950206831731,11.907968795238292,30.902159415201112,71.77836752451412,78.34276341425843,capture_only,2.4840384264204363,1.8336861158803053,0.6499913365847577,0.001678536124330642,0.00012573868133710343,0.8510511217679971,0.6264026069440101,0.012125174682135687,0.0012123528620462001,0.00010274545691469651,1.0019203073733691,1.0138944068548668,6.727717607653749,6.844203670972339,7.842274089653682,10.72700114624558,10.723303197470726,7.9314614742556016,6.861548978538088,6.985901673862939,8.284265182487335,13.800337827254532,19.996636957282103,20.66721658099145,0.05502692062123285,0.04952461626179128,0.0358220184650687,0.0,0.03166943633670503,0.1571444283015137,2.24094080105372,139,TrialState.COMPLETE
capture_only_v5_codex_trial_00187,2.0665989572584875,0.9187051898041373,0.6773501504553169,0.48784521116456836,0.1779021401947603,0.0,0.03864169461912277,7.623081904384216e-08,215505.24938747546,67041484205067.62,5.4652709658090725e+19,1.3277100476148125,0.752685133969393,0.2820112294479486,2.950477338988476,1.0849385231740636,0.6002073459618825,1.563200271525366,2.7953105170258343,1.7261427874081618,79.09684097781913,1.3485406216217522e+19,1.41661917297693e+19,1.1837821951443503e+19,-0.07798131176962213,2.8287583296703165,5.815127803327918,0.0008528507366966534,0.08731179211735247,0.08731179211735247,12.0,22,0,4.2934800659537927e-19,3.19380306793349e-105,2.439789288817587e-86,1.2941996945796232e-104,4.052221339423469,1.0110751286746784e-19,3.9926598373169697e-19,2.723857131869719e-20,700.0,800.0,1.35,106.83422001323996,142.60579061423996,177.22648772943074,209.6499814051331,27.73737903542083,35.77157060100001,34.62069711519078,67.04419079089314,32.42349367570236,0.75,350.0,1.9623860349160709,1.470136524625799,1.1829494794548028,2.8,67.92092492748719,65.9791253984571,55.591707081894704,0.5992699810017643,0.041026237435215905,61.169871653067744,84.20729354374389,83.59588285736542,79.21778619223734,54.519163352320476,7.126887501532564,0.8829059545013969,23.079140102970317,25.506726339566775,35.985815170259,88.80826318589409,89.37879015436508,30.393867665628914,8.078818940451615,8.784659308559247,12.229950201777028,31.574112272944834,72.79172283719495,78.43980743806264,capture_only,2.249135549501046,1.667911460717574,0.5988130944870748,0.0014923398226118273,0.00011113513520461054,0.7728358519433012,0.571825391595545,0.011233430508819699,0.0011168770344436446,9.265178423220532e-05,1.0021749008239225,1.014032263183395,6.750799420041443,6.846236801258546,7.82366465335923,10.590974493281553,10.580072473064515,7.931107801829189,6.941051663861207,7.047632442479774,8.347822129693611,13.895490944225884,20.080272784238023,20.677193955651735,0.0732999893227029,0.048877831674640895,0.0363188871186592,0.0,0.008251692453375379,0.1486149774323758,2.3002661912146336,187,TrialState.COMPLETE
capture_only_v5_codex_trial_00112,2.0673908326452097,0.9193003704275987,0.6970449933951577,0.48117072611879247,0.20133713390708774,0.0,0.02937863341311716,1.362197175717654e-07,266302.58704048157,61050793816010.95,5.349936628960666e+19,1.2834729008254928,0.6931575070873033,0.22059292468647745,2.8401447188183084,1.1816078076523004,0.7033863837773748,1.7811014887544327,2.5974408015908943,1.6960401457338257,74.35177332749404,1.5086310975923345e+19,1.5899139834063761e+19,1.3028650690541746e+19,-0.08647418858558559,2.6098703503617178,5.701458355656139,0.0009002095000319693,0.092176978888293,0.092176978888293,12.0,22,0,4.2934800659537927e-19,3.1599237504090506e-105,2.3770891720617004e-86,1.2558681115146471e-104,3.9743620755155105,9.897382763577232e-20,3.6621024555545653e-19,2.6324691763881043e-20,700.0,800.0,1.35,101.4268436350435,138.37461522215276,177.1765055577912,219.5498429744946,27.075070307549453,36.94777158710926,38.80189033563843,81.17522775234184,42.37333741670341,0.75,350.0,2.1646127899285137,1.5866338101249244,1.2391588957198512,2.8,70.07436783293443,67.89132395412547,57.489946164701365,0.6436777471587469,0.04117690660627986,62.996829060878326,85.62107263931853,84.9758114878425,80.82554620266902,56.989680829093665,7.777875354508352,0.9378900810074202,22.11747244674087,24.68856307837832,35.14966294206601,89.96466209641676,90.572881944783,29.664507972733965,7.738918489665025,8.45149329477441,11.861236587566163,31.29466503401257,75.0348428028044,81.29808987652763,capture_only,1.8766225487094477,1.3914151555624779,0.49753445406127983,0.0013156198620418948,9.836042742919909e-05,0.6426392392419974,0.47463330252054375,0.009326155280695267,0.0009760415802835951,8.265923232243929e-05,1.0019012167991481,1.0067485622151602,5.931537171615255,6.028697811933728,6.862856439171348,9.390344536562463,9.385842788183295,6.920570315117275,5.997369631774456,6.098061914862535,7.144727122295972,11.70632798161308,17.186305801106993,17.763937383232665,0.059965885064034906,0.03520478215139262,0.013827411986274353,0.0,0.01695823689302823,0.16366612255297644,2.1525496026367605,112,TrialState.COMPLETE
capture_only_v5_codex_trial_00141,2.0694697683810896,0.9188809624008779,0.6499768670726535,0.48794136011883726,0.16736933833616563,0.0,0.04342724501931318,8.154025909809767e-08,189607.3041115135,65511287217575.914,5.525826557851284e+19,1.3998404360796792,0.6664626034752659,0.2732555122786501,2.589279547553835,0.9701249928353499,0.6439261853992693,1.6595349073023684,2.5760399650493744,1.7085480349325988,80.92331310560209,1.1604943276330662e+19,1.2180096415115764e+19,1.0179726918848643e+19,-0.07791459831357139,2.593493155519096,5.55126685008487,0.0008633164624094701,0.07988431895241038,0.07988431895241038,12.0,22,0,4.2934800659537927e-19,3.2114481083774177e-105,2.6571075351443326e-86,1.4124540581419763e-104,4.39818427847996,1.0222779132024876e-19,3.542753902232913e-19,2.872195707880014e-20,700.0,800.0,1.35,109.59418067097396,149.79418281790836,195.39959112119794,248.89707182812185,28.670867565371864,40.20000214693441,45.60540830328958,99.10288901021349,53.49748070692391,0.75,350.0,2.2710792699419513,1.6615937090873827,1.273785018688917,2.8,69.8662329216895,68.15479482783775,58.96150995953763,0.833396639845228,0.05074416930778407,64.04342208471442,84.89421652783163,84.33844238693713,80.3632155258958,57.73807195777561,9.425033637876513,1.2409389205247279,20.772591604137506,23.010637243987183,32.391232697391764,87.88659511521357,88.66755538330942,27.327164100160108,7.2647548847354955,7.9159152689954615,10.991088640175782,28.154011949619605,69.39233067841697,76.73356807115204,capture_only,2.545008553463782,1.9015577480835233,0.6861450117418586,0.0018878139771681644,0.00014156716210688057,0.8735706651451359,0.6512819840259446,0.012824206505815122,0.0013331552125044161,0.00011496981024154023,1.0015896867730942,1.0094735448170478,6.816166920709209,6.933010180091566,7.961112331328748,11.27812043096402,11.2815588802207,8.051417129733691,6.967457922287723,7.094360360041471,8.411744338888616,14.095091886098974,21.181302528494026,22.025378038513004,0.06864079454391726,0.055900244438799054,0.046652832412066664,0.0,0.024652233517042134,0.15136041424298505,2.107777940383855,141,TrialState.COMPLETE
capture_only_v5_codex_trial_00191,2.0707762504812073,0.916331617854939,0.6554349036957156,0.49258082246344265,0.16857638645767847,0.0,0.029846537381991924,7.563771967461228e-08,199805.57406080546,62961729785797.3,5.355703696378925e+19,1.451439504421194,0.7208532589239797,0.2841440741046396,2.556536814541471,0.9955853474677169,0.5934799280746895,1.5353740496198531,2.6041144685584947,1.7131457712268552,80.7499493978113,1.1807139234891151e+19,1.2350376939190061e+19,1.0463786164722305e+19,-0.07199135672639465,2.619331386157609,5.581104199277543,0.0007896287289679277,0.07534712508363618,0.07534712508363618,12.0,22,0,4.2934800659537927e-19,3.1616264420596586e-105,2.506108180048513e-86,1.3242990490193118e-104,4.188663883253045,9.908051838301012e-20,3.8091942433906357e-19,2.977013353298217e-20,700.0,800.0,1.35,108.91261785399492,147.18580369349226,187.76973224147628,228.89319671575453,28.16266845618361,38.273185839497344,40.583928547984016,81.70739302226227,41.12346447427825,0.75,350.0,2.1016223944098202,1.5551309363531702,1.2190100821009453,2.8,69.54995907791906,67.77162472721604,58.32247968544559,0.8201450140327698,0.054927064228351,63.433967873271,84.59880622965744,84.00936741399494,79.85828140338367,56.72305542145041,9.01315195348776,1.2082542618503442,20.890015838273918,23.189404565894318,32.75101602641329,87.54255256525684,88.31042094368853,27.63977015420994,7.309381742303637,7.981302875033824,11.131460369488895,28.50888039620998,68.94630007602109,75.90630847803934,capture_only,2.5054271237748362,1.8587843179639778,0.6617541343094416,0.001769088610402422,0.00013235797610874192,0.8596263964540085,0.63646088191427,0.012279363849862652,0.0012615970394612053,0.00010795633878087955,1.001550921580676,1.0079075641880277,7.054597960032179,7.180186388925671,8.2647501538317,11.635533332099993,11.634519634107019,8.36877244756654,7.2321856315849224,7.372868829056968,8.784591169432034,14.755784818489758,22.03928637345169,22.885329303771552,0.07819003764406827,0.05847712090348369,0.05419151042506629,0.0,0.013653454151039357,0.14570105200564942,2.1318206623499214,191,TrialState.COMPLETE
capture_only_v5_codex_trial_00137,2.074800302719001,0.9320777450148632,0.6377339029112146,0.4707632404033715,0.15528148702133154,0.0,0.022273459397321286,6.012754282486962e-08,198347.80206561333,62607635332790.87,5.263122322173528e+19,1.3439401076376487,0.615323527139862,0.26472895937366125,2.366840227125059,0.9459862159948147,0.7485662554489436,1.5611351034057173,2.7720358121566995,1.681905005002353,83.41205463088694,1.140312198879554e+19,1.2130433325696563e+19,9.640780457308916e+18,-0.09976412200364859,2.8149371298622343,5.586038046404823,0.0007863800345089007,0.08205454589370599,0.08205454589370599,12.0,22,0,4.2934800659537927e-19,3.134180585876854e-105,2.9510927346043515e-86,1.5543870807370403e-104,4.959468793027979,9.736776296021026e-20,3.2410060512313216e-19,2.7559865357884425e-20,700.0,800.0,1.35,114.32482530612172,158.21105248658898,211.71075777199553,294.6839497855484,30.912770675234782,43.88622718046726,53.49970528540655,136.47289729895942,82.97319201355288,0.75,350.0,2.5776024498308945,1.8626002744689898,1.3919176941537938,2.8,68.18417096194607,66.41194667757428,56.67962817681051,0.6467451954198298,0.02724265596785041,62.006080640304894,84.0649187091954,83.47240942273994,79.22554685779859,55.198706630863036,9.168766968086445,1.124176046629546,21.66097479643457,24.08361930452871,34.14802314670059,87.76361355790765,88.38226693828808,28.838543390387056,7.575247601438777,8.293761284792623,11.591766089871491,29.80895893125599,69.02305221957327,76.25611876083846,capture_only,2.9999558082266544,2.215370608559704,0.7836825995155223,0.0020456772140545767,0.00015437253427315597,1.0293929083983169,0.7584685731020547,0.014589145058112128,0.0014437183304823287,0.00012369582031120964,1.0018378812033066,1.0183334099311188,7.1548984333927095,7.289063409337328,8.388666076973383,11.58759556945846,11.590336033209807,8.494199058359294,7.330440780967505,7.475360719365377,8.915660282041085,14.977745292822867,21.806737094009804,22.619581496711685,0.049331162750224304,0.05918658984316764,0.05202776300081717,0.0,0.056483194555687004,0.15295337472233653,2.2163007610461785,137,TrialState.COMPLETE
