Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	JOG (other phases) (/)	
0	2178	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.04019488	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	2.636441e-11	0	2.636441e-11	0	-399.6292	0	-399.6292	0	30531.45	77194.93	0.001	8554.591	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2178	3.45e+19	0	0	100000	1.97456	1.04222e-05	7.331149e+21	6.579822e+21	6.579822e+21	0	7.214209e+20	2.990635e+19	5.326049e+20	4.780213e+20	4.780213e+20	0	5.241092e+19	2.172683e+18	0.004079353	7.105322e+20	0	0	0	6.822497e+20	2.828251e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.995976e+13	254.321	1215.343	4.859232e-09	5.047457e-17	8.103575e-26	0.00100746	0.5	4.655792e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03980466	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02544	0	2.532552e-11	0	2.532552e-11	0	-400.3572	0	-400.3572	0	30538.25	77194.93	0.001	8556.498	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2178	3.45e+19	0	0	100000	1.97412	1.082304e-05	1.46623e+22	1.378828e+22	6.849863e+19	1.371979e+22	8.392723e+20	3.474273e+19	1.06521e+21	1.001713e+21	4.976396e+18	9.967365e+20	6.097277e+19	2.524045e+18	0.002369528	1.421064e+21	0	0	0	1.272385e+21	5.250047e+19	9.617922e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	4.435931e+15	1.37224e+22	6.20328e+21	2.662048e+18	6.200618e+21	3.320948e+21	4.134998e+12	3.320948e+21	1.240656e+22	1.076007e+13	1.240656e+22	3.696904e+21	2.36826e+13	3.696904e+21	1.184263e+22	2.851535e+18	1.183977e+22	1.047495e+24	0	0	1.993484e+13	395.0686	2801.749	6.185352e-09	8.17836e-17	1.671349e-25	0.001630343	0.5	9.235322e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03942024	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02588	0	2.433994e-11	0	2.433994e-11	0	-401.0759	0	-401.0759	0	30545.06	77194.93	0.01709385	8558.406	0.9961616	0.0994306	5.995539	4.547693	1	2	0	0	3.305855e-07	0	0	0	
0.756756	2178	3.45e+19	0	0	100000	1.97368	1.120509e-05	2.199345e+22	2.09952e+22	7.162568e+19	2.092357e+22	9.5866e+20	3.959314e+19	1.597815e+21	1.525292e+21	5.203575e+18	1.520088e+21	6.964624e+19	2.876424e+18	0.001800224	2.131597e+21	0	0	0	1.909267e+21	7.83753e+19	1.439542e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	6.140767e+15	2.058361e+22	9.30492e+21	4.046573e+18	9.300874e+21	4.981422e+21	6.171041e+12	4.981422e+21	1.860984e+22	1.604329e+13	1.860984e+22	5.545357e+21	3.526535e+13	5.545357e+21	1.776394e+22	4.250513e+18	1.775969e+22	1.198468e+24	4.933544e-11	6.028259e-07	1.990937e+13	554.0728	4841.704	7.299554e-09	1.139017e-16	2.747027e-25	0.002267711	0.5	1.464287e-06	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03904115	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02632	0	2.340417e-11	0	2.340417e-11	0	-401.7858	0	-401.7858	0	30551.87	77194.93	0.02553016	8560.314	0.9973467	0.09835853	5.995282	4.597235	1	2	0	0	4.947037e-07	0	0	0	
1.009008	2178	3.45e+19	0	0	100000	1.97324	1.157047e-05	2.93246e+22	2.820152e+22	7.503434e+19	2.812648e+22	1.078662e+21	4.441991e+19	2.130419e+21	2.048828e+21	5.451213e+18	2.043377e+21	7.836435e+19	3.227087e+18	0.001514766	2.842129e+21	0	0	0	2.546583e+21	1.040096e+20	1.915363e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	7.577767e+15	2.744481e+22	1.240656e+22	5.476874e+18	1.240108e+22	6.641896e+21	8.202205e+12	6.641896e+21	2.481312e+22	2.130428e+13	2.481312e+22	7.393809e+21	4.677045e+13	7.393809e+21	2.368525e+22	5.642887e+18	2.367961e+22	1.201883e+24	5.674323e-11	9.197992e-07	1.988326e+13	722.5427	7338.427	8.290209e-09	1.469158e-16	4.024114e-25	0.002921164	0.5	2.074569e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03866704	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02676	0	2.2515e-11	0	2.2515e-11	0	-402.4872	0	-402.4872	0	30558.69	77194.93	0.03389483	8562.223	0.9985146	0.09730198	5.995014	4.647128	1	2	0	0	6.580626e-07	0	0	0	
1.26126	2178	3.45e+19	0	0	100000	1.9728	1.192091e-05	3.665575e+22	3.540491e+22	9.262184e+19	3.531229e+22	1.20152e+21	4.931246e+19	2.663024e+21	2.572152e+21	6.728937e+18	2.565423e+21	8.728992e+19	3.582529e+18	0.001345286	3.552661e+21	0	0	0	3.184318e+21	1.294061e+20	2.38937e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	8.786182e+15	3.430601e+22	1.55082e+22	6.957157e+18	1.550124e+22	8.30237e+21	1.02345e+13	8.30237e+21	3.10164e+22	2.655893e+13	3.10164e+22	9.242261e+21	5.823362e+13	9.242261e+21	2.960656e+22	7.03288e+18	2.959953e+22	1.193806e+24	6.279197e-11	1.23804e-06	1.985629e+13	900.5509	10304.63	9.204372e-09	1.81103e-16	5.507523e-25	0.003596034	0.5	2.752112e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03829766	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0272	0	2.166944e-11	0	2.166944e-11	0	-403.1804	0	-403.1804	0	30565.5	77194.93	0.04218937	8564.133	0.9996659	0.09626045	5.994734	4.697379	1	2	0	0	8.206794e-07	0	0	0	
1.513512	2178	3.45e+19	0	0	100000	1.97236	1.225786e-05	4.39869e+22	4.260562e+22	1.109864e+20	4.249464e+22	1.327014e+21	5.42605e+19	3.195629e+21	3.09528e+21	8.063112e+18	3.087217e+21	9.640699e+19	3.942002e+18	0.00123356	4.263193e+21	0	0	0	3.822459e+21	1.54567e+20	2.861669e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	9.794691e+15	4.116721e+22	1.860984e+22	8.487731e+18	1.860135e+22	9.962844e+21	1.22679e+13	9.962844e+21	3.721968e+22	3.180735e+13	3.721968e+22	1.109071e+22	6.965586e+13	1.109071e+22	3.552788e+22	8.420542e+18	3.551946e+22	1.1826e+24	6.795502e-11	1.554501e-06	1.982841e+13	1087.717	13751.09	1.006485e-08	2.165472e-16	7.201061e-25	0.004293786	0.5	3.494547e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03793284	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02764	0	2.086476e-11	0	2.086476e-11	0	-403.8656	0	-403.8656	0	30572.32	77194.93	0.05041521	8566.044	1.000801	0.09523347	5.994441	4.748002	1	2	0	0	9.825702e-07	0	0	0	
1.765764	2178	3.45e+19	0	0	100000	1.97192	1.258254e-05	5.131805e+22	4.980387e+22	1.297859e+20	4.967409e+22	1.45492e+21	5.925386e+19	3.728234e+21	3.61823e+21	9.428891e+18	3.608801e+21	1.056993e+20	4.304768e+18	0.00115464	4.973725e+21	0	0	0	4.460994e+21	1.79495e+20	3.332359e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.062835e+16	4.802842e+22	2.171148e+22	1.006893e+19	2.170141e+22	1.162332e+22	1.430235e+13	1.162332e+22	4.342296e+22	3.704965e+13	4.342296e+22	1.293917e+22	8.10381e+13	1.293917e+22	4.144919e+22	9.805918e+18	4.143939e+22	1.171279e+24	7.251471e-11	1.870799e-06	1.979961e+13	1283.701	17687.78	1.088481e-08	2.532672e-16	9.108277e-25	0.005014592	0.5	4.299776e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03757245	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02808	0	2.009844e-11	0	2.009844e-11	0	-404.5432	0	-404.5432	0	30579.15	77194.93	0.05857373	8567.956	1.001921	0.09422056	5.994136	4.799012	1	2	0	0	1.143751e-06	0	0	0	
2.018016	2178	3.45e+19	0	0	100000	1.97148	1.2896e-05	5.86492e+22	5.699989e+22	1.488154e+20	5.685107e+22	1.585024e+21	6.428304e+19	4.260839e+21	4.141018e+21	1.081138e+19	4.130206e+21	1.151513e+20	4.670136e+18	0.00109606	5.684257e+21	0	0	0	5.099912e+21	2.041924e+20	3.801534e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	1.130912e+16	5.488962e+22	2.481312e+22	1.170109e+19	2.480142e+22	1.328379e+22	1.633782e+13	1.328379e+22	4.962624e+22	4.228592e+13	4.962624e+22	1.478762e+22	9.238126e+13	1.478762e+22	4.73705e+22	1.118905e+19	4.735931e+22	1.160755e+24	7.661923e-11	2.186968e-06	1.976991e+13	1488.199	22124.39	1.167266e-08	2.912574e-16	1.123268e-24	0.005758132	0.5	5.165998e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03721641	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02852	0	1.936815e-11	0	1.936815e-11	0	-405.2134	0	-405.2134	0	30585.97	77194.93	0.06666621	8569.869	1.003025	0.09322122	5.993817	4.850423	1	2	0	0	1.304236e-06	0	0	0	
2.270268	2178	3.45e+19	0	0	100000	1.97104	1.319914e-05	6.598034e+22	6.419387e+22	1.679726e+20	6.40259e+22	1.717132e+21	6.933959e+19	4.793444e+21	4.663657e+21	1.220314e+19	4.651454e+21	1.247489e+20	5.037492e+18	0.001050913	6.39479e+21	0	0	0	5.7392e+21	2.286616e+20	4.269275e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	1.185628e+16	6.175082e+22	2.791476e+22	1.338456e+19	2.790138e+22	1.494427e+22	1.837428e+13	1.494427e+22	5.582952e+22	4.751626e+13	5.582952e+22	1.663607e+22	1.036862e+14	1.663607e+22	5.329182e+22	1.256999e+19	5.327925e+22	1.151207e+24	8.036643e-11	2.503031e-06	1.973931e+13	1700.943	27070.55	1.243421e-08	3.305019e-16	1.357778e-24	0.006523882	0.5	6.091673e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03686466	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02896	0	1.867173e-11	0	1.867173e-11	0	-405.8765	0	-405.8765	0	30592.8	77194.93	0.07469393	8571.782	1.004115	0.09223501	5.993483	4.90225	1	2	0	0	1.46404e-06	0	0	0	
2.52252	2178	3.45e+19	0	0	100000	1.9706	1.349275e-05	7.331149e+22	7.1386e+22	1.872057e+20	7.11988e+22	1.851074e+21	7.441617e+19	5.326049e+21	5.186163e+21	1.360041e+19	5.172562e+21	1.344798e+20	5.406303e+18	0.001015068	7.105322e+21	0	0	0	6.37885e+21	2.529052e+20	4.735667e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+22	1.228675e+16	6.861203e+22	3.10164e+22	1.51197e+19	3.100128e+22	1.660474e+22	2.041169e+13	1.660474e+22	6.20328e+22	5.274078e+13	6.20328e+22	1.848452e+22	1.149537e+14	1.848452e+22	5.921313e+22	1.394876e+19	5.919918e+22	1.142573e+24	8.382516e-11	2.819004e-06	1.970786e+13	1921.689	32535.81	1.317368e-08	3.70981e-16	1.614713e-24	0.007311243	0.5	7.075477e-06	1	0.01070361	0.001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03651718	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0294	0	1.800718e-11	0	1.800718e-11	0	-406.5327	0	-406.5327	0	30599.63	77194.93	0.08265805	8573.697	1.005191	0.09126151	5.993136	4.954507	1	2	0	0	1.623176e-06	0	0	0	
2.774772	2178	3.45e+19	0	0	100000	1.97016	1.377752e-05	8.064264e+22	7.857644e+22	2.064901e+20	7.836995e+22	1.986701e+21	7.950646e+19	5.858654e+21	5.708545e+21	1.500142e+19	5.693543e+21	1.44333e+20	5.77611e+18	0.0009859109	7.815854e+21	0	0	0	7.018851e+21	2.769255e+20	5.200779e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.547324e+22	1.261535e+16	7.547323e+22	3.411804e+22	1.690691e+19	3.410113e+22	1.826521e+22	2.245003e+13	1.826521e+22	6.823608e+22	5.795957e+13	6.823608e+22	2.033297e+22	1.261847e+14	2.033297e+22	6.513444e+22	1.532541e+19	6.511912e+22	1.134725e+24	8.704585e-11	3.134899e-06	1.967557e+13	2150.224	38529.68	1.389424e-08	4.126739e-16	1.894429e-24	0.008119594	0.5	8.11626e-06	1	0.01177397	0.001464153	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03617396	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02984	0	1.737265e-11	0	1.737265e-11	0	-407.1823	0	-407.1823	0	30606.47	77194.93	0.09055972	8575.612	1.006254	0.09030027	5.992773	5.00721	1	2	0	0	1.781658e-06	0	0	0	
3.027024	2178	3.45e+19	0	0	100000	1.96972	1.405405e-05	8.797379e+22	8.576531e+22	2.258148e+20	8.553949e+22	2.123882e+21	8.460507e+19	6.391258e+21	6.230813e+21	1.640535e+19	6.214407e+21	1.542991e+20	6.146522e+18	0.0009617077	8.526386e+21	0	0	0	7.659193e+21	3.007251e+20	5.664678e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.233445e+22	1.285519e+16	8.233443e+22	3.721968e+22	1.874655e+19	3.720094e+22	1.992569e+22	2.448927e+13	1.992569e+22	7.443936e+22	6.317272e+13	7.443936e+22	2.218143e+22	1.373798e+14	2.218143e+22	7.105576e+22	1.669999e+19	7.103906e+22	1.127538e+24	9.006653e-11	3.450723e-06	1.964247e+13	2386.354	45061.63	1.459836e-08	4.555599e-16	2.197283e-24	0.008948321	0.5	9.213014e-06	1	0.01284433	0.001597258	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03583499	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03028	0	1.676641e-11	0	1.676641e-11	0	-407.8255	0	-407.8255	0	30613.31	77194.93	0.09840004	8577.528	1.007303	0.08935099	5.992395	5.06037	1	2	0	0	1.939497e-06	0	0	0	
3.279276	2178	3.45e+19	0	0	100000	1.96928	1.43229e-05	9.530494e+22	9.295273e+22	2.451752e+20	9.270755e+22	2.262505e+21	8.970739e+19	6.923863e+21	6.752976e+21	1.781187e+19	6.735164e+21	1.6437e+20	6.517203e+18	0.0009412669	9.236918e+21	0	0	0	8.299868e+21	3.243065e+20	6.127435e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.919565e+22	1.301774e+16	8.919564e+22	4.032132e+22	2.063903e+19	4.030068e+22	2.158616e+22	2.652937e+13	2.158616e+22	8.064264e+22	6.838032e+13	8.064264e+22	2.402988e+22	1.485398e+14	2.402988e+22	7.697707e+22	1.807252e+19	7.6959e+22	1.120904e+24	9.291653e-11	3.766481e-06	1.960858e+13	2629.906	52141.08	1.528801e-08	4.996193e-16	2.523635e-24	0.009796824	0.5	1.036485e-05	1	0.01391469	0.001730363	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03550029	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03072	0	1.618688e-11	0	1.618688e-11	0	-408.4625	0	-408.4625	0	30620.15	77194.93	0.10618	8579.445	1.00834	0.08841318	5.992	5.114007	1	2	0	0	2.096705e-06	0	0	0	
3.531528	2178	3.45e+19	0	0	100000	1.96884	1.458454e-05	1.026361e+23	1.001388e+23	2.645699e+20	9.987424e+22	2.402472e+21	9.480946e+19	7.456468e+21	7.275042e+21	1.922089e+19	7.255821e+21	1.745386e+20	6.887866e+18	0.0009237438	9.947451e+21	0	0	0	8.940868e+21	3.476722e+20	6.589108e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.605686e+22	1.311313e+16	9.605684e+22	4.342296e+22	2.258475e+19	4.340038e+22	2.324664e+22	2.857032e+13	2.324664e+22	8.684592e+22	7.358244e+13	8.684592e+22	2.587833e+22	1.596654e+14	2.587833e+22	8.289838e+22	1.944303e+19	8.287894e+22	1.114735e+24	9.561895e-11	4.08218e-06	1.957392e+13	2880.726	59777.4	1.596479e-08	5.448334e-16	2.873845e-24	0.01066453	0.5	1.157097e-05	1	0.01498505	0.001863468	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03516988	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03116	0	1.563256e-11	0	1.563256e-11	0	-409.0934	0	-409.0934	0	30626.99	77194.93	0.1139007	8581.363	1.009364	0.08748655	5.991589	5.168134	1	2	0	0	2.253295e-06	0	0	0	
3.78378	2178	3.45e+19	0	0	100000	1.9684	1.483941e-05	1.099672e+23	1.073236e+23	2.839984e+20	1.070396e+23	2.543696e+21	9.990789e+19	7.989073e+21	7.797016e+21	2.063236e+19	7.776384e+21	1.847984e+20	7.258266e+18	0.0009085241	1.065798e+22	0	0	0	9.582183e+21	3.708248e+20	7.049751e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.029181e+23	1.31503e+16	1.02918e+23	4.65246e+22	2.458413e+19	4.650002e+22	2.490711e+22	3.061209e+13	2.490711e+22	9.30492e+22	7.877918e+13	9.30492e+22	2.772678e+22	1.707572e+14	2.772678e+22	8.881969e+22	2.081158e+19	8.879888e+22	1.108963e+24	9.819228e-11	4.397823e-06	1.953852e+13	3138.673	67979.95	1.663003e-08	5.911848e-16	3.248274e-24	0.01155088	0.5	1.283066e-05	1	0.01605542	0.001996572	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03484377	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0316	0	1.510206e-11	0	1.510206e-11	0	-409.7186	0	-409.7186	0	30633.84	77194.93	0.121563	8583.281	1.010376	0.08657077	5.99116	5.222765	1	2	0	0	2.409276e-06	0	0	0	
4.036032	2178	3.45e+19	0	0	100000	1.96796	1.508789e-05	1.172984e+23	1.145073e+23	3.034609e+20	1.142038e+23	2.686101e+21	1.049998e+20	8.521678e+21	8.318906e+21	2.20463e+19	8.296859e+21	1.951441e+20	7.62819e+18	0.0008951512	1.136851e+22	0	0	0	1.022381e+22	3.93767e+20	7.509418e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.097793e+23	1.313708e+16	1.097793e+23	4.962624e+22	2.663762e+19	4.95996e+22	2.656758e+22	3.265465e+13	2.656758e+22	9.925248e+22	8.39706e+13	9.925248e+22	2.957524e+22	1.81816e+14	2.957524e+22	9.474101e+22	2.217817e+19	9.471883e+22	1.103532e+24	1.006516e-10	4.713414e-06	1.95024e+13	3403.62	76758.07	1.728484e-08	6.386574e-16	3.647285e-24	0.01245535	0.5	1.414329e-05	1	0.01712578	0.002129677	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.034522	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03204	0	1.45941e-11	0	1.45941e-11	0	-410.3381	0	-410.3381	0	30640.69	77194.93	0.1291679	8585.201	1.011377	0.0856655	5.990713	5.277916	1	2	0	0	2.564659e-06	0	0	0	
4.288284	2178	3.45e+19	0	0	100000	1.96752	1.533034e-05	1.246295e+23	1.216898e+23	3.229575e+20	1.213669e+23	2.829619e+21	1.100826e+20	9.054283e+21	8.840715e+21	2.346273e+19	8.817252e+21	2.055706e+20	7.997457e+18	0.0008832789	1.207905e+22	0	0	0	1.086573e+22	4.165015e+20	7.968159e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.166405e+23	1.308039e+16	1.166405e+23	5.272788e+22	2.874564e+19	5.269914e+22	2.822806e+22	3.469799e+13	2.822806e+22	1.054558e+23	8.91568e+13	1.054558e+23	3.142369e+22	1.928423e+14	3.142369e+22	1.006623e+23	2.354286e+19	1.006388e+23	1.098399e+24	1.030093e-10	5.028956e-06	1.946558e+13	3675.455	86121.08	1.793017e-08	6.872362e-16	4.071241e-24	0.01337745	0.5	1.550828e-05	1	0.01819614	0.002262782	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03420459	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03248	0	1.410746e-11	0	1.410746e-11	0	-410.9522	0	-410.9522	0	30647.55	77194.93	0.1367161	8587.121	1.012366	0.08477042	5.990247	5.333603	1	2	0	0	2.719455e-06	0	0	0	
4.540536	2178	3.45e+19	0	0	100000	1.96708	1.556709e-05	1.319607e+23	1.288713e+23	3.424884e+20	1.285289e+23	2.97419e+21	1.151543e+20	9.586888e+21	9.362448e+21	2.488163e+19	9.337567e+21	2.160736e+20	8.36591e+18	0.0008726409	1.278958e+22	0	0	0	1.150795e+22	4.390309e+20	8.426021e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.235017e+23	1.298635e+16	1.235017e+23	5.582952e+22	3.090866e+19	5.579861e+22	2.988853e+22	3.674208e+13	2.988853e+22	1.11659e+23	9.433783e+13	1.11659e+23	3.327214e+22	2.038368e+14	3.327214e+22	1.065836e+23	2.490566e+19	1.065587e+23	1.093526e+24	1.052758e-10	5.344451e-06	1.942807e+13	3954.072	96078.31	1.856683e-08	7.369077e-16	4.52051e-24	0.01431669	0.5	1.692509e-05	1	0.0192665	0.002395887	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03389157	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03292	0	1.364103e-11	0	1.364103e-11	0	-411.5611	0	-411.5611	0	30654.4	77194.93	0.1442088	8589.042	1.013345	0.08388527	5.989762	5.389841	1	2	0	0	2.873672e-06	0	0	0	
