Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	
0	1900	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02672005	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	6.191912e-14	0	6.191912e-14	0	-444.2522	0	-444.2522	0	30531.45	77194.93	0.001	8554.591	3528955	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1900	3.45e+19	0	0	100000	1.97432	1.004113e-05	7.331149e+21	7.056704e+21	7.056704e+21	0	2.671175e+20	7.328036e+18	5.326049e+20	5.126665e+20	5.126665e+20	0	1.940597e+19	5.323787e+17	0.0009995753	3.847751e+20	0	0	0	3.745011e+20	1.027397e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.99795e+13	111.6005	360.9894	3.465125e-09	2.566701e-17	2.938534e-26	0.0005128141	0.5	1.754098e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02670121	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02568	0	5.663479e-14	0	5.663479e-14	0	-445.6613	0	-445.6613	0	30541.97	77194.93	0.001	8557.539	3528955	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1900	3.45e+19	0	0	100000	1.97364	1.008197e-05	1.46623e+22	1.426115e+22	5.864572e+20	1.367469e+22	3.904447e+20	1.070892e+19	1.06521e+21	1.036066e+21	4.260587e+19	9.934602e+20	2.836564e+19	7.779982e+17	0.0007303709	7.695501e+20	0	0	0	6.388207e+20	1.752e+19	1.132094e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	6.631157e+14	1.372241e+22	6.20328e+21	1.074625e+17	6.203173e+21	3.320948e+21	1.294181e+10	3.320948e+21	1.240656e+22	2.685005e+10	1.240656e+22	3.696904e+21	8.621836e+10	3.696904e+21	1.184263e+22	6.713952e+16	1.184256e+22	1.047495e+24	0	0	1.996812e+13	179.7812	805.5616	4.322075e-09	3.993209e-17	5.702309e-26	0.0007973686	0.5	3.388158e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0266824	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02636	0	5.188397e-14	0	5.188397e-14	0	-447.0453	0	-447.0453	0	30552.49	77194.93	0.01030033	8560.488	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
0.756756	1900	3.45e+19	0	0	100000	1.97296	1.012252e-05	2.199345e+22	2.146395e+22	6.131134e+20	2.085084e+22	5.153649e+20	1.413099e+19	1.597815e+21	1.559347e+21	4.454243e+19	1.514805e+21	3.744104e+19	1.02661e+18	0.0006425091	1.154325e+21	0	0	0	9.582409e+20	2.627022e+19	1.69814e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	8.355791e+14	2.058361e+22	9.30492e+21	1.638141e+17	9.304757e+21	4.981422e+21	1.937052e+10	4.981422e+21	1.860984e+22	4.018753e+10	1.860984e+22	5.545357e+21	1.290466e+11	5.545357e+21	1.776394e+22	1.004904e+17	1.776384e+22	1.198468e+24	4.92814e-11	6.008473e-07	1.995607e+13	258.239	1395.718	5.074712e-09	5.505036e-17	9.230134e-26	0.001098589	0.5	5.459032e-07	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02666361	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02704	0	4.760536e-14	0	4.760536e-14	0	-448.4049	0	-448.4049	0	30563.03	77194.93	0.01545046	8563.44	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
1.009008	1900	3.45e+19	0	0	100000	1.97228	1.016279e-05	2.93246e+22	2.866554e+22	6.422353e+20	2.802331e+22	6.414735e+20	1.758312e+19	2.130419e+21	2.082539e+21	4.665812e+19	2.035881e+21	4.660277e+19	1.277406e+18	0.0005996031	1.5391e+21	0	0	0	1.277667e+21	3.501429e+19	2.264186e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	9.386615e+14	2.744481e+22	1.240656e+22	2.219782e+17	1.240634e+22	6.641896e+21	2.576912e+10	6.641896e+21	2.481312e+22	5.346259e+10	2.481312e+22	7.393809e+21	1.716744e+11	7.393809e+21	2.368525e+22	1.336852e+17	2.368512e+22	1.201953e+24	5.667643e-11	9.16608e-07	1.99442e+13	337.6237	2097.747	5.721366e-09	6.997404e-17	1.322736e-25	0.001395576	0.5	7.787504e-07	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02664485	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02772	0	4.37455e-14	0	4.37455e-14	0	-449.7406	0	-449.7406	0	30573.57	77194.93	0.02060057	8566.393	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
1.26126	1900	3.45e+19	0	0	100000	1.9716	1.020277e-05	3.665575e+22	3.586252e+22	7.902496e+20	3.507228e+22	7.720669e+20	2.115544e+19	2.663024e+21	2.605397e+21	5.74113e+19	2.547986e+21	5.609033e+19	1.536934e+18	0.0005771384	1.923875e+21	0	0	0	1.5971e+21	4.375221e+19	2.83023e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	9.923607e+14	3.430602e+22	1.55082e+22	2.822808e+17	1.550792e+22	8.30237e+21	3.216788e+10	8.30237e+21	3.10164e+22	6.673798e+10	3.10164e+22	9.242261e+21	2.143034e+11	9.242261e+21	2.960656e+22	1.668808e+17	2.96064e+22	1.193922e+24	6.271328e-11	1.233511e-06	1.99324e+13	418.5669	2900.698	6.299291e-09	8.482439e-17	1.765423e-25	0.001690753	0.5	1.034693e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02662612	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0284	0	4.025765e-14	0	4.025765e-14	0	-451.0531	0	-451.0531	0	30584.12	77194.93	0.02575065	8569.349	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
1.513512	1900	3.45e+19	0	0	100000	1.97092	1.024247e-05	4.39869e+22	4.305485e+22	9.44767e+20	4.211009e+22	9.071949e+20	2.484913e+19	3.195629e+21	3.127917e+21	6.863692e+19	3.05928e+21	6.590732e+19	1.805279e+18	0.0005649211	2.30865e+21	0	0	0	1.916539e+21	5.2484e+19	3.396272e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	1.010509e+15	4.116722e+22	1.860984e+22	3.447966e+17	1.86095e+22	9.962844e+21	3.85668e+10	9.962844e+21	3.721968e+22	8.001371e+10	3.721968e+22	1.109071e+22	2.569337e+11	1.109071e+22	3.552788e+22	2.000773e+17	3.552768e+22	1.18275e+24	6.779832e-11	1.543968e-06	1.992061e+13	501.084	3798.819	6.828436e-09	9.967356e-17	2.248732e-25	0.001985558	0.5	1.31207e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02660742	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02908	0	3.710086e-14	0	3.710086e-14	0	-452.343	0	-452.343	0	30594.67	77194.93	0.03090071	8572.306	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
1.765764	1900	3.45e+19	0	0	100000	1.97024	1.02819e-05	5.131805e+22	5.024255e+22	1.103e+21	4.913955e+22	1.046831e+21	2.866329e+19	3.728234e+21	3.6501e+21	8.01325e+19	3.569967e+21	7.60518e+19	2.082375e+18	0.000558542	2.693425e+21	0	0	0	2.235985e+21	6.120967e+19	3.962313e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.003452e+15	4.802843e+22	2.171148e+22	4.096006e+17	2.171107e+22	1.162332e+22	4.496587e+10	1.162332e+22	4.342296e+22	9.328977e+10	4.342296e+22	1.293917e+22	2.99565e+11	1.293917e+22	4.144919e+22	2.332746e+17	4.144896e+22	1.17154e+24	7.229063e-11	1.853923e-06	1.99088e+13	585.1766	4788.734	7.320974e-09	1.145711e-16	2.771281e-25	0.002280973	0.5	1.609806e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02658874	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02976	0	3.423918e-14	0	3.423918e-14	0	-453.611	0	-453.611	0	30605.24	77194.93	0.03605075	8575.266	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
2.018016	1900	3.45e+19	0	0	100000	1.96956	1.032105e-05	5.86492e+22	5.742571e+22	1.263013e+21	5.616269e+22	1.190895e+21	3.259557e+19	4.260839e+21	4.171953e+21	9.175735e+19	4.080196e+21	8.651798e+19	2.368054e+18	0.0005557717	3.078201e+21	0	0	0	2.555436e+21	6.992922e+19	4.528352e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	9.789113e+14	5.488963e+22	2.481312e+22	4.767678e+17	2.481264e+22	1.328379e+22	5.136509e+10	1.328379e+22	4.962624e+22	1.065662e+11	4.962624e+22	1.478762e+22	3.421976e+11	1.478762e+22	4.73705e+22	2.664727e+17	4.737024e+22	1.161145e+24	7.633572e-11	2.163508e-06	1.989693e+13	670.8364	5868.285	7.784872e-09	1.295509e-16	3.332179e-25	0.002577666	0.5	1.927134e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0265701	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03044	0	3.164102e-14	0	3.164102e-14	0	-454.8576	0	-454.8576	0	30615.81	77194.93	0.04120075	8578.228	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
2.270268	1900	3.45e+19	0	0	100000	1.96888	1.035993e-05	6.598034e+22	6.460441e+22	1.423983e+21	6.318043e+22	1.339287e+21	3.664308e+19	4.793444e+21	4.693483e+21	1.034517e+20	4.590031e+21	9.729864e+19	2.662104e+18	0.0005553636	3.462976e+21	0	0	0	2.874894e+21	7.864267e+19	5.094391e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	9.426309e+14	6.175083e+22	2.791476e+22	5.463731e+17	2.791421e+22	1.494427e+22	5.776446e+10	1.494427e+22	5.582952e+22	1.198429e+11	5.582952e+22	1.663607e+22	3.848313e+11	1.663607e+22	5.329182e+22	2.996718e+17	5.329152e+22	1.151722e+24	8.002982e-11	2.472817e-06	1.9885e+13	758.0515	7036.04	8.225648e-09	1.446364e-16	3.93083e-25	0.002876095	0.5	2.263467e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02655149	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03112	0	2.927853e-14	0	2.927853e-14	0	-456.0834	0	-456.0834	0	30626.38	77194.93	0.04635073	8581.191	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
2.52252	1900	3.45e+19	0	0	100000	1.9682	1.039855e-05	7.331149e+22	7.177879e+22	1.585496e+21	7.019329e+22	1.491902e+21	4.080276e+19	5.326049e+21	5.214698e+21	1.151856e+20	5.099513e+21	1.08386e+20	2.964303e+18	0.0005565671	3.847751e+21	0	0	0	3.194358e+21	8.735002e+19	5.660428e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+22	8.988582e+14	6.861204e+22	3.10164e+22	6.184915e+17	3.101578e+22	1.660474e+22	6.4164e+10	1.660474e+22	6.20328e+22	1.3312e+11	6.20328e+22	1.848452e+22	4.274663e+11	1.848452e+22	5.921313e+22	3.328716e+17	5.92128e+22	1.143202e+24	8.344039e-11	2.781895e-06	1.987299e+13	846.808	8291.046	8.647295e-09	1.598446e-16	4.566829e-25	0.00317659	0.5	2.618341e-06	1	0.01070361	0.001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0265329	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0318	0	2.712716e-14	0	2.712716e-14	0	-457.289	0	-457.289	0	30636.97	77194.93	0.05150069	8584.157	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
2.774772	1900	3.45e+19	0	0	100000	1.96752	1.043691e-05	8.064264e+22	7.894894e+22	1.747357e+21	7.720158e+22	1.64863e+21	4.50715e+19	5.858654e+21	5.735607e+21	1.269448e+20	5.608662e+21	1.197723e+20	3.274425e+18	0.0005589041	4.232526e+21	0	0	0	3.513828e+21	9.605129e+19	6.226462e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.547324e+22	8.507115e+14	7.547324e+22	3.411804e+22	6.931985e+17	3.411735e+22	1.826521e+22	7.056369e+10	1.826521e+22	6.823608e+22	1.463974e+11	6.823608e+22	2.033297e+22	4.701024e+11	2.033297e+22	6.513444e+22	3.660724e+17	6.513408e+22	1.135457e+24	8.66168e-11	3.090764e-06	1.986088e+13	937.092	9632.686	9.052809e-09	1.751879e-16	5.239911e-25	0.003479386	0.5	2.991381e-06	1	0.01177397	0.001464153	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02651435	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03248	0	2.51652e-14	0	2.51652e-14	0	-458.4749	0	-458.4749	0	30647.56	77194.93	0.05665062	8587.125	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
3.027024	1900	3.45e+19	0	0	100000	1.96684	1.047501e-05	8.797379e+22	8.611498e+22	1.909481e+21	8.42055e+22	1.809366e+21	4.944627e+19	6.391258e+21	6.256217e+21	1.387229e+20	6.117494e+21	1.314497e+20	3.59225e+18	0.0005620568	4.617301e+21	0	0	0	3.833305e+21	1.047465e+20	6.792493e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.233445e+22	8.004608e+14	8.233445e+22	3.721968e+22	7.705692e+17	3.721891e+22	1.992569e+22	7.696353e+10	1.992569e+22	7.443936e+22	1.596752e+11	7.443936e+22	2.218143e+22	5.127398e+11	2.218143e+22	7.105576e+22	3.99274e+17	7.105536e+22	1.128362e+24	8.959627e-11	3.399437e-06	1.984868e+13	1028.889	11060.59	9.444499e-09	1.906757e-16	5.949914e-25	0.00378466	0.5	3.382277e-06	1	0.01284433	0.001597258	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02649583	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03316	0	2.337344e-14	0	2.337344e-14	0	-459.6417	0	-459.6417	0	30658.16	77194.93	0.06180051	8590.095	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
3.279276	1900	3.45e+19	0	0	100000	1.96616	1.051285e-05	9.530494e+22	9.327701e+22	2.07183e+21	9.120518e+22	1.974009e+21	5.392412e+19	6.923863e+21	6.776535e+21	1.505176e+20	6.626017e+21	1.434109e+20	3.917565e+18	0.0005658062	5.002076e+21	0	0	0	4.152788e+21	1.134356e+20	7.358522e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.919565e+22	7.49736e+14	8.919565e+22	4.032132e+22	8.506795e+17	4.032047e+22	2.158616e+22	8.336353e+10	2.158616e+22	8.064264e+22	1.729533e+11	8.064264e+22	2.402988e+22	5.553784e+11	2.402988e+22	7.697707e+22	4.324765e+17	7.697664e+22	1.121812e+24	9.240754e-11	3.707924e-06	1.983637e+13	1122.187	12574.59	9.824191e-09	2.063151e-16	6.696753e-25	0.004092542	0.5	3.790768e-06	1	0.01391469	0.001730363	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02647734	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03384	0	2.173484e-14	0	2.173484e-14	0	-460.7898	0	-460.7898	0	30668.77	77194.93	0.06695038	8593.067	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
3.531528	1900	3.45e+19	0	0	100000	1.96548	1.055044e-05	1.026361e+23	1.004351e+23	2.234395e+21	9.820074e+22	2.142458e+21	5.850225e+19	7.456468e+21	7.296569e+21	1.623279e+20	7.134242e+21	1.556487e+20	4.250163e+18	0.0005699968	5.386851e+21	0	0	0	4.472277e+21	1.221187e+20	7.92455e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.605686e+22	6.996902e+14	9.605685e+22	4.342296e+22	9.336047e+17	4.342203e+22	2.324664e+22	8.976369e+10	2.324664e+22	8.684592e+22	1.862317e+11	8.684592e+22	2.587833e+22	5.980183e+11	2.587833e+22	8.289838e+22	4.656798e+17	8.289792e+22	1.11572e+24	9.507323e-11	4.01623e-06	1.982395e+13	1216.972	14174.64	1.019335e-08	2.221117e-16	7.480403e-25	0.004403131	0.5	4.216635e-06	1	0.01498505	0.001863468	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02645888	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03452	0	2.023428e-14	0	2.023428e-14	0	-461.9199	0	-461.9199	0	30679.38	77194.93	0.07210022	8596.041	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
3.78378	1900	3.45e+19	0	0	100000	1.9648	1.058777e-05	1.099672e+23	1.075894e+23	2.397173e+21	1.051923e+23	2.31462e+21	6.317793e+19	7.989073e+21	7.816327e+21	1.741536e+20	7.642173e+21	1.681562e+20	4.58985e+18	0.0005745159	5.771626e+21	0	0	0	4.791772e+21	1.307958e+20	8.490578e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.029181e+23	6.511148e+14	1.029181e+23	4.65246e+22	1.019421e+18	4.652358e+22	2.490711e+22	9.6164e+10	2.490711e+22	9.30492e+22	1.995105e+11	9.30492e+22	2.772678e+22	6.406593e+11	2.772678e+22	8.881969e+22	4.98884e+17	8.88192e+22	1.110019e+24	9.761149e-11	4.324358e-06	1.981142e+13	1313.231	15860.85	1.055319e-08	2.380699e-16	8.300889e-25	0.004716503	0.5	4.659688e-06	1	0.01605542	0.001996572	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02644046	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0352	0	1.88583e-14	0	1.88583e-14	0	-463.0324	0	-463.0324	0	30690	77194.93	0.07725002	8599.017	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
4.036032	1900	3.45e+19	0	0	100000	1.96412	1.062486e-05	1.172984e+23	1.1474e+23	2.560165e+21	1.121799e+23	2.490405e+21	6.794858e+19	8.521678e+21	8.335815e+21	1.859949e+20	8.14982e+21	1.809268e+20	4.936435e+18	0.0005792797	6.156401e+21	0	0	0	5.111274e+21	1.394668e+20	9.056604e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.097793e+23	6.045369e+14	1.097793e+23	4.962624e+22	1.108205e+18	4.962513e+22	2.656758e+22	1.025645e+11	2.656758e+22	9.925248e+22	2.127897e+11	9.925248e+22	2.957524e+22	6.833016e+11	2.957524e+22	9.474101e+22	5.320891e+17	9.474048e+22	1.104654e+24	1.000371e-10	4.632315e-06	1.979878e+13	1410.953	17633.38	1.090469e-08	2.541932e-16	9.158273e-25	0.005032714	0.5	5.119765e-06	1	0.01712578	0.002129677	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02642207	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03588	0	1.759492e-14	0	1.759492e-14	0	-464.1278	0	-464.1278	0	30700.63	77194.93	0.0823998	8601.995	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
4.288284	1900	3.45e+19	0	0	100000	1.96344	1.06617e-05	1.246295e+23	1.21887e+23	2.723372e+21	1.191636e+23	2.669724e+21	7.28117e+19	9.054283e+21	8.855039e+21	1.978518e+20	8.657187e+21	1.939543e+20	5.289739e+18	0.000584225	6.541176e+21	0	0	0	5.430782e+21	1.481318e+20	9.622621e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.166405e+23	5.602845e+14	1.166405e+23	5.272788e+22	1.200032e+18	5.272668e+22	2.822806e+22	1.089651e+11	2.822806e+22	1.054558e+23	2.260692e+11	1.054558e+23	3.142369e+22	7.259452e+11	3.142369e+22	1.006623e+23	5.652951e+17	1.006618e+23	1.099583e+24	1.023622e-10	4.940102e-06	1.978602e+13	1510.126	19492.51	1.12487e-08	2.704842e-16	1.005265e-24	0.005351806	0.5	5.596723e-06	1	0.01819614	0.002262782	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02640371	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03656	0	1.643346e-14	0	1.643346e-14	0	-465.2065	0	-465.2065	0	30711.27	77194.93	0.08754954	8604.975	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
4.540536	1900	3.45e+19	0	0	100000	1.96276	1.06983e-05	1.319607e+23	1.290304e+23	2.886795e+21	1.261436e+23	2.852496e+21	7.776489e+19	9.586888e+21	9.374006e+21	2.097245e+20	9.164281e+21	2.072326e+20	5.649586e+18	0.0005893035	6.925951e+21	0	0	0	5.750296e+21	1.567908e+20	1.018864e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.235017e+23	5.185397e+14	1.235017e+23	5.582952e+22	1.29498e+18	5.582823e+22	2.988853e+22	1.153659e+11	2.988853e+22	1.11659e+23	2.39349e+11	1.11659e+23	3.327214e+22	7.685901e+11	3.327214e+22	1.065836e+23	5.98502e+17	1.06583e+23	1.094769e+24	1.045972e-10	5.247724e-06	1.977315e+13	1610.74	21438.54	1.158593e-08	2.869452e-16	1.098415e-24	0.00567381	0.5	6.090437e-06	1	0.0192665	0.002395887	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02638539	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.03724	0	1.536436e-14	0	1.536436e-14	0	-466.2691	0	-466.2691	0	30721.91	77194.93	0.09269925	8607.957	3528955	1.106061	0	0	0	1	2	0	0	0	0	0	
