Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	THERMOCHIMICA pressure (Pa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted - IG (at/m3)	Cs reacted - GB (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted - IG (at/m3)	I reacted - GB (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted - IG (at/m3)	Te reacted - GB (at/m3)	Mo produced (at/m3)	Mo in grain (at/m3)	Mo in intragranular solution (at/m3)	Mo in intragranular precipitates (at/m3)	Mo at grain boundary (at/m3)	Mo released (at/m3)	Mo reacted - IG (at/m3)	Mo reacted - GB (at/m3)	Ru produced (at/m3)	Ru in grain (at/m3)	Ru in intragranular solution (at/m3)	Ru in intragranular precipitates (at/m3)	Ru at grain boundary (at/m3)	Ru released (at/m3)	Ru reacted - IG (at/m3)	Ru reacted - GB (at/m3)	Rh produced (at/m3)	Rh in grain (at/m3)	Rh in intragranular solution (at/m3)	Rh in intragranular precipitates (at/m3)	Rh at grain boundary (at/m3)	Rh released (at/m3)	Rh reacted - IG (at/m3)	Rh reacted - GB (at/m3)	Tc produced (at/m3)	Tc in grain (at/m3)	Tc in intragranular solution (at/m3)	Tc in intragranular precipitates (at/m3)	Tc at grain boundary (at/m3)	Tc released (at/m3)	Tc reacted - IG (at/m3)	Tc reacted - GB (at/m3)	Pd produced (at/m3)	Pd in grain (at/m3)	Pd in intragranular solution (at/m3)	Pd in intragranular precipitates (at/m3)	Pd at grain boundary (at/m3)	Pd released (at/m3)	Pd reacted - IG (at/m3)	Pd reacted - GB (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgMOX)	Fuel density (kg/m3)	U234 (at/m3)	U235 (at/m3)	U236 (at/m3)	U237 (at/m3)	U238 (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen potential (KJ/mol)	Uranium content (mol/m3)	Oxygen content (mol/m3)	Plutonium content (mol/m3)	
0	800	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	0	1.291393e+26	6.173115e+25	4.94e+25	3.723355e+25	3.723355e+25	0	8.231586e+24	3.934863e+24	0.07965309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.710637e+13	1.431424e+07	0	1.169331e-07	2.922888e-14	1.129239e-21	0.5	0.5	0.01159031	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
6	801	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	0	1.289795e+26	6.189087e+25	4.94e+25	3.723355e+25	3.723355e+25	0	8.221406e+24	3.945044e+24	0.07985918	0.045144	0.0444664	0.0444664	0	0.0006378998	7.89925e-07	0	3.891194e-05	0.001296	0.001276547	0.001276547	0	1.94283e-05	2.405848e-08	0	3.198929e-10	0.001296	0.001276547	0.001276547	0	3.313166e-09	4.102764e-12	0	1.944936e-05	0.0472392	0.0472392	0	0	0	0	0	0	0.0428544	0.0428544	0	0	0	0	0	0	0.0128304	0.0128304	0	0	0	0	0	0	0.0114696	0.0114696	0	0	0	0	0	0	0.0334152	0.0334152	0	0	0	0	0	0	10.8	0	0	1.709777e+13	1.447104e+07	328.0157	1.169625e-07	2.924358e-14	1.130091e-21	0.5	0.5	0.01159323	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
12	802	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	2.911492e+18	1.289678e+26	6.190265e+25	4.94e+25	3.723355e+25	3.723355e+25	1.855841e+17	8.220655e+24	3.945795e+24	0.07987439	0.090288	0.07798142	0.07798142	3.886847e-10	0.01159804	1.849502e-06	0	0.000706694	0.002592	0.002238701	0.002238701	1.115841e-11	0.0003532373	5.632962e-08	0	5.422241e-09	0.002592	0.002238701	0.002238701	1.115841e-11	6.341539e-08	9.896283e-12	0	0.0003532356	0.0944784	0.0944784	0	0	0	0	0	0	0.0857088	0.0857088	0	0	0	0	0	0	0.0256608	0.0256608	0	0	0	0	0	0	0.0229392	0.0229392	0	0	0	0	0	0	0.0668304	0.0668304	0	0	0	0	0	0	21.6	0	0	1.709706e+13	1.448216e+07	540.1572	1.169649e-07	2.92448e-14	1.130162e-21	0.5	0.5	0.01159347	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
18	803	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	6.150121e+18	1.289617e+26	6.190869e+25	4.94e+25	3.723355e+25	3.723355e+25	3.920206e+17	8.22027e+24	3.946179e+24	0.07988218	0.135432	0.1114964	0.1114964	1.173912e-09	0.02255839	2.905575e-06	0	0.001374274	0.003888	0.003200855	0.003200855	3.370082e-11	0.0006870514	8.8494e-08	0	5.486419e-09	0.003888	0.003200855	0.003200855	3.370082e-11	1.298313e-07	1.597435e-11	0	0.0006870156	0.1417176	0.1417176	0	0	0	0	0	0	0.1285632	0.1285632	0	0	0	0	0	0	0.0384912	0.0384912	0	0	0	0	0	0	0.0344088	0.0344088	0	0	0	0	0	0	0.1002456	0.1002456	0	0	0	0	0	0	32.4	0.01299099	0.0002975505	1.709667e+13	1.448772e+07	711.9296	1.169663e-07	2.924547e-14	1.130201e-21	0.5	0.5	0.0115936	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
24	804	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	3.566828e+12	1.288694e+26	6.200106e+25	4.94e+25	3.723355e+25	3.723355e+25	2.273565e+11	8.214382e+24	3.952067e+24	0.08000136	0.180576	0.1450115	0.1450115	8.854728e-16	0.03349579	2.691445e-05	0	0.002041842	0.005184	0.004163008	0.004163008	2.542027e-17	0.001020163	8.197194e-07	0	8.660681e-09	0.005184	0.004163008	0.004163008	2.542027e-17	2.028928e-07	1.614024e-10	0	0.001020789	0.1889568	0.1889568	0	0	0	0	0	0	0.1714176	0.1714176	0	0	0	0	0	0	0.0513216	0.0513216	0	0	0	0	0	0	0.0458784	0.0458784	0	0	0	0	0	0	0.1336608	0.1336608	0	0	0	0	0	0	43.2	0.01195358	0.0003090768	1.70917e+13	1.45786e+07	863.8299	1.169832e-07	2.925396e-14	1.130693e-21	0.5	0.5	0.01159528	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
30	805	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	5.447519e+12	1.287973e+26	6.207315e+25	4.94e+25	3.723355e+25	3.723355e+25	3.472354e+11	8.209787e+24	3.956663e+24	0.08009438	0.22572	0.1785265	0.1785265	1.664915e-15	0.04443239	5.178429e-05	0	0.002709352	0.00648	0.005125162	0.005125162	4.779661e-17	0.001353256	1.577168e-06	0	5.290997e-09	0.00648	0.005125162	0.005125162	4.779661e-17	2.832203e-07	3.199273e-10	0	0.001354555	0.236196	0.236196	0	0	0	0	0	0	0.214272	0.214272	0	0	0	0	0	0	0.064152	0.064152	0	0	0	0	0	0	0.057348	0.057348	0	0	0	0	0	0	0.167076	0.167076	0	0	0	0	0	0	54	0.0004324071	1.828777e-08	1.708782e+13	1.464952e+07	1003.861	1.169965e-07	2.926061e-14	1.131078e-21	0.5	0.5	0.0115966	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
36	806	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	1.992884e+14	1.287366e+26	6.213384e+25	4.94e+25	3.723355e+25	3.723355e+25	1.270303e+13	8.205918e+24	3.960531e+24	0.08017269	0.270864	0.2120415	0.2120415	7.234252e-14	0.05536776	7.788582e-05	0	0.003376866	0.007776	0.006087315	0.006087315	2.076819e-15	0.001686307	2.372129e-06	0	5.241569e-09	0.007776	0.006087315	0.006087315	2.076819e-15	3.713415e-07	4.949855e-10	0	0.001688313	0.2834352	0.2834352	0	0	0	0	0	0	0.2571264	0.2571264	0	0	0	0	0	0	0.0769824	0.0769824	0	0	0	0	0	0	0.0688176	0.0688176	0	0	0	0	0	0	0.2004912	0.2004912	0	0	0	0	0	0	64.8	0.0004574774	2.598799e-08	1.708454e+13	1.470923e+07	1136.286	1.170077e-07	2.926622e-14	1.131404e-21	0.5	0.5	0.01159771	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
42	807	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	2.386532e+14	1.286832e+26	6.218725e+25	4.94e+25	3.723355e+25	3.723355e+25	1.521222e+13	8.202514e+24	3.963936e+24	0.08024161	0.316008	0.2455565	0.2455565	1.003251e-13	0.06630173	0.000105406	0	0.004044352	0.009072	0.007049469	0.007049469	2.880146e-15	0.002019315	3.210296e-06	0	5.194697e-09	0.009072	0.007049469	0.007049469	2.880146e-15	4.67818e-07	6.891651e-10	0	0.002022062	0.3306744	0.3306744	0	0	0	0	0	0	0.2999808	0.2999808	0	0	0	0	0	0	0.0898128	0.0898128	0	0	0	0	0	0	0.0802872	0.0802872	0	0	0	0	0	0	0.2339064	0.2339064	0	0	0	0	0	0	75.6	0.00140626	8.80658e-07	1.708166e+13	1.476177e+07	1263.674	1.170176e-07	2.927117e-14	1.131691e-21	0.5	0.5	0.01159869	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
48	808	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	9.559098e+13	1.286348e+26	6.223559e+25	4.94e+25	3.723355e+25	3.723355e+25	6.093154e+12	8.199433e+24	3.967017e+24	0.08030398	0.361152	0.2790715	0.2790715	4.566918e-14	0.07723425	0.0001344282	0	0.004711801	0.010368	0.008011623	0.008011623	1.311077e-15	0.002352278	4.094209e-06	0	5.149543e-09	0.010368	0.008011623	0.008011623	1.311077e-15	5.732466e-07	9.045734e-10	0	0.002355803	0.3779136	0.3779136	0	0	0	0	0	0	0.3428352	0.3428352	0	0	0	0	0	0	0.1026432	0.1026432	0	0	0	0	0	0	0.0917568	0.0917568	0	0	0	0	0	0	0.2673216	0.2673216	0	0	0	0	0	0	86.4	0.001395571	9.836907e-07	1.707904e+13	1.480932e+07	1387.714	1.170266e-07	2.927565e-14	1.131951e-21	0.5	0.5	0.01159958	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
54	809	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	1.162137e+14	1.285904e+26	6.227999e+25	4.94e+25	3.723355e+25	3.723355e+25	7.407688e+12	8.196602e+24	3.969847e+24	0.08036128	0.406296	0.3125865	0.3125865	6.218971e-14	0.08816528	0.0001648717	0	0.005379309	0.011664	0.008973776	0.008973776	1.78535e-15	0.002685197	5.021407e-06	0	5.105684e-09	0.011664	0.008973776	0.008973776	1.78535e-15	6.882605e-07	1.14223e-09	0	0.002689534	0.4251528	0.4251528	0	0	0	0	0	0	0.3856896	0.3856896	0	0	0	0	0	0	0.1154736	0.1154736	0	0	0	0	0	0	0.1032264	0.1032264	0	0	0	0	0	0	0.3007368	0.3007368	0	0	0	0	0	0	97.2	0.000967752	3.690176e-07	1.707663e+13	1.4853e+07	1509.593	1.170348e-07	2.927978e-14	1.13219e-21	0.5	0.5	0.0116004	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
60	810	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	1.988993e+14	1.285492e+26	6.232125e+25	4.94e+25	3.723355e+25	3.723355e+25	1.267823e+13	8.193972e+24	3.972477e+24	0.08041452	0.45144	0.3461016	0.3461016	1.178495e-13	0.09909546	0.0001966811	0	0.006046296	0.01296	0.00993593	0.00993593	3.383238e-15	0.003018075	5.990202e-06	0	5.062895e-09	0.01296	0.00993593	0.00993593	3.383238e-15	8.135366e-07	1.403373e-09	0	0.003023255	0.472392	0.472392	0	0	0	0	0	0	0.428544	0.428544	0	0	0	0	0	0	0.128304	0.128304	0	0	0	0	0	0	0.114696	0.114696	0	0	0	0	0	0	0.334152	0.334152	0	0	0	0	0	0	108	0.0009751524	4.194979e-07	1.707439e+13	1.489359e+07	1630.188	1.170425e-07	2.928363e-14	1.132413e-21	0.5	0.5	0.01160116	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
66	811	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	2.313898e+14	1.285104e+26	6.235998e+25	4.94e+25	3.723355e+25	3.723355e+25	1.474924e+13	8.191504e+24	3.974946e+24	0.08046449	0.496584	0.3796166	0.3796166	1.503766e-13	0.1100237	0.0002298367	0	0.006713874	0.014256	0.01089808	0.01089808	4.317031e-15	0.003350911	6.999998e-06	0	5.021019e-09	0.014256	0.01089808	0.01089808	4.317031e-15	9.497785e-07	1.689588e-09	0	0.003356965	0.5196312	0.5196312	0	0	0	0	0	0	0.4713984	0.4713984	0	0	0	0	0	0	0.1411344	0.1411344	0	0	0	0	0	0	0.1261656	0.1261656	0	0	0	0	0	0	0.3675672	0.3675672	0	0	0	0	0	0	118.8	0.001105234	6.718431e-07	1.707228e+13	1.493168e+07	1750.173	1.170498e-07	2.928724e-14	1.132623e-21	0.5	0.5	0.01160188	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
72	812	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	2.369022e+14	1.284738e+26	6.23966e+25	4.94e+25	3.723355e+25	3.723355e+25	1.510061e+13	8.18917e+24	3.97728e+24	0.08051174	0.541728	0.4131316	0.4131316	1.675515e-13	0.120951	0.000264309	0	0.007381103	0.015552	0.01186024	0.01186024	4.810091e-15	0.003683705	8.049893e-06	0	7.807537e-09	0.015552	0.01186024	0.01186024	4.810091e-15	1.097749e-06	2.002458e-09	0	0.003690663	0.5668704	0.5668704	0	0	0	0	0	0	0.5142528	0.5142528	0	0	0	0	0	0	0.1539648	0.1539648	0	0	0	0	0	0	0.1376352	0.1376352	0	0	0	0	0	0	0.4009824	0.4009824	0	0	0	0	0	0	129.6	0.001104901	7.322572e-07	1.707029e+13	1.496769e+07	1870.084	1.170566e-07	2.929066e-14	1.132822e-21	0.5	0.5	0.01160255	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
78	813	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	2.727002e+14	1.28439e+26	6.24314e+25	4.94e+25	3.723355e+25	3.723355e+25	1.738244e+13	8.186951e+24	3.979499e+24	0.08055665	0.586872	0.4466466	0.4466466	2.085164e-13	0.1318763	0.0003000494	0	0.00804899	0.016848	0.01282239	0.01282239	5.986118e-15	0.004016466	9.138413e-06	0	4.939602e-09	0.016848	0.01282239	0.01282239	5.986118e-15	1.258239e-06	2.343459e-09	0	0.004024349	0.6141096	0.6141096	0	0	0	0	0	0	0.5571072	0.5571072	0	0	0	0	0	0	0.1667952	0.1667952	0	0	0	0	0	0	0.1491048	0.1491048	0	0	0	0	0	0	0.4343976	0.4343976	0	0	0	0	0	0	140.4	0.001061305	7.03034e-07	1.706839e+13	1.500192e+07	1990.362	1.170631e-07	2.929392e-14	1.133011e-21	0.5	0.5	0.0116032	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
84	814	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	3.243219e+14	1.284058e+26	6.246465e+25	4.94e+25	3.723355e+25	3.723355e+25	2.067291e+13	8.184832e+24	3.981617e+24	0.08059954	0.632016	0.4801616	0.4801616	2.665966e-13	0.1428008	0.0003370174	0	0.008716562	0.018144	0.01378454	0.01378454	7.65349e-15	0.004349186	1.026432e-05	0	4.899828e-09	0.018144	0.01378454	0.01378454	7.65349e-15	1.432105e-06	2.7142e-09	0	0.004358021	0.6613488	0.6613488	0	0	0	0	0	0	0.5999616	0.5999616	0	0	0	0	0	0	0.1796256	0.1796256	0	0	0	0	0	0	0.1605744	0.1605744	0	0	0	0	0	0	0.4678128	0.4678128	0	0	0	0	0	0	151.2	0.001062193	7.590166e-07	1.706657e+13	1.50346e+07	2111.378	1.170693e-07	2.929704e-14	1.133192e-21	0.5	0.5	0.01160382	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
90	815	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	3.680318e+14	1.283739e+26	6.249652e+25	4.94e+25	3.723355e+25	3.723355e+25	2.345906e+13	8.1828e+24	3.983649e+24	0.08064067	0.67716	0.5136767	0.5136767	3.236428e-13	0.1537243	0.0003751833	0	0.009383898	0.01944	0.0147467	0.0147467	9.29118e-15	0.00468187	1.142671e-05	0	4.86069e-09	0.01944	0.0147467	0.0147467	9.29118e-15	1.620243e-06	3.116465e-09	0	0.004691678	0.708588	0.708588	0	0	0	0	0	0	0.642816	0.642816	0	0	0	0	0	0	0.192456	0.192456	0	0	0	0	0	0	0.172044	0.172044	0	0	0	0	0	0	0.501228	0.501228	0	0	0	0	0	0	162	0.00107676	8.471496e-07	1.706482e+13	1.506593e+07	2233.45	1.170753e-07	2.930004e-14	1.133366e-21	0.5	0.5	0.01160441	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
96	816	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	4.101203e+14	1.283432e+26	6.252718e+25	4.94e+25	3.723355e+25	3.723355e+25	2.614186e+13	8.180846e+24	3.985603e+24	0.08068023	0.722304	0.5471917	0.5471917	3.84186e-13	0.1646468	0.000414517	0	0.01005101	0.020736	0.01570885	0.01570885	1.102926e-14	0.005014517	1.262467e-05	0	6.44419e-09	0.020736	0.01570885	0.01570885	1.102926e-14	1.823603e-06	3.55212e-09	0	0.005025321	0.7558272	0.7558272	0	0	0	0	0	0	0.6856704	0.6856704	0	0	0	0	0	0	0.2052864	0.2052864	0	0	0	0	0	0	0.1835136	0.1835136	0	0	0	0	0	0	0.5346432	0.5346432	0	0	0	0	0	0	172.8	0.001076302	9.024733e-07	1.706314e+13	1.509606e+07	2356.857	1.170811e-07	2.930293e-14	1.133533e-21	0.5	0.5	0.01160498	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
102	817	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	4.613529e+14	1.283137e+26	6.255676e+25	4.94e+25	3.723355e+25	3.723355e+25	2.940753e+13	8.178961e+24	3.987489e+24	0.0807184	0.767448	0.5807067	0.5807067	4.586495e-13	0.1755684	0.0004549876	0	0.01071789	0.022032	0.01667101	0.01667101	1.316697e-14	0.005347133	1.385725e-05	0	4.826116e-09	0.022032	0.01667101	0.01667101	1.316697e-14	2.04319e-06	4.0231e-09	0	0.005358947	0.8030664	0.8030664	0	0	0	0	0	0	0.7285248	0.7285248	0	0	0	0	0	0	0.2181168	0.2181168	0	0	0	0	0	0	0.1949832	0.1949832	0	0	0	0	0	0	0.5680584	0.5680584	0	0	0	0	0	0	183.6	0.001070957	9.446649e-07	1.706152e+13	1.512512e+07	2481.85	1.170867e-07	2.930572e-14	1.133695e-21	0.5	0.5	0.01160554	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
108	818	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	5.193301e+14	1.282851e+26	6.258536e+25	4.94e+25	3.723355e+25	3.723355e+25	3.310311e+13	8.177137e+24	3.989312e+24	0.0807553	0.812592	0.6142217	0.6142217	5.46084e-13	0.1864881	0.0004965669	0	0.01138563	0.023328	0.01763316	0.01763316	1.567705e-14	0.005679709	1.512359e-05	0	8.587638e-09	0.023328	0.01763316	0.01763316	1.567705e-14	2.280053e-06	4.531459e-09	0	0.005692556	0.8503056	0.8503056	0	0	0	0	0	0	0.7713792	0.7713792	0	0	0	0	0	0	0.2309472	0.2309472	0	0	0	0	0	0	0.2064528	0.2064528	0	0	0	0	0	0	0.6014736	0.6014736	0	0	0	0	0	0	194.4	0.001070361	9.985637e-07	1.705994e+13	1.515322e+07	2608.656	1.170921e-07	2.930842e-14	1.133852e-21	0.5	0.5	0.01160607	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
114	819	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	5.798365e+14	1.282573e+26	6.261308e+25	4.94e+25	3.723355e+25	3.723355e+25	3.69599e+13	8.175371e+24	3.991079e+24	0.08079107	0.857736	0.6477367	0.6477367	6.429761e-13	0.1974078	0.0005392305	0	0.0120522	0.024624	0.01859531	0.01859531	1.845864e-14	0.006012256	1.642295e-05	0	8.582759e-09	0.024624	0.01859531	0.01859531	1.845864e-14	2.53534e-06	5.079394e-09	0	0.006026147	0.8975448	0.8975448	0	0	0	0	0	0	0.8142336	0.8142336	0	0	0	0	0	0	0.2437776	0.2437776	0	0	0	0	0	0	0.2179224	0.2179224	0	0	0	0	0	0	0.6348888	0.6348888	0	0	0	0	0	0	205.2	0.00107117	1.05643e-06	1.705842e+13	1.518044e+07	2737.483	1.170973e-07	2.931104e-14	1.134004e-21	0.5	0.5	0.01160659	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
120	820	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	6.444933e+14	1.282304e+26	6.263999e+25	4.94e+25	3.723355e+25	3.723355e+25	4.108125e+13	8.173655e+24	3.992794e+24	0.08082579	0.90288	0.6812517	0.6812517	7.516521e-13	0.2083256	0.0005829548	0	0.01271967	0.02592	0.01955747	0.01955747	2.157853e-14	0.006344774	1.775462e-05	0	5.561868e-09	0.02592	0.01955747	0.01955747	2.157853e-14	2.810212e-06	5.669213e-09	0	0.006359718	0.944784	0.944784	0	0	0	0	0	0	0.857088	0.857088	0	0	0	0	0	0	0.256608	0.256608	0	0	0	0	0	0	0.229392	0.229392	0	0	0	0	0	0	0.668304	0.668304	0	0	0	0	0	0	216	0.001070232	1.109113e-06	1.705693e+13	1.520686e+07	2868.526	1.171024e-07	2.93136e-14	1.134152e-21	0.5	0.5	0.0116071	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
126	821	1e-05	0	1	5e-06	7.75e+26	5.841296e+26	5.841296e+26	7.154408e+14	1.282042e+26	6.266617e+25	4.94e+25	3.723355e+25	3.723355e+25	4.560358e+13	8.171987e+24	3.994463e+24	0.08085957	0.948024	0.7147668	0.7147668	8.754449e-13	0.2192425	0.0006277176	0	0.01338701	0.027216	0.02051962	0.02051962	2.513239e-14	0.006677258	1.911792e-05	0	4.636434e-09	0.027216	0.02051962	0.02051962	2.513239e-14	3.105938e-06	6.303354e-09	0	0.006693268	0.9920232	0.9920232	0	0	0	0	0	0	0.8999424	0.8999424	0	0	0	0	0	0	0.2694384	0.2694384	0	0	0	0	0	0	0.2408616	0.2408616	0	0	0	0	0	0	0.7017192	0.7017192	0	0	0	0	0	0	226.8	0.001068685	1.159527e-06	1.705548e+13	1.523255e+07	3001.969	1.171074e-07	2.931608e-14	1.134297e-21	0.5	0.5	0.01160759	1	116	10420	6.316197e+24	4.561698e+25	1.228149e+24	0	1.749762e+28	3.340975e+24	4.861402e+27	7.503037e+26	3.227722e+25	1.528921e+25	0.244	0	0	0	29143.76	77093.5	9402.99	
