Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Phase std density (g/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid) (/)	JOG (Ba3MoO6) (/)	JOG (Ba2MoO5) (/)	
0	1560	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02478081	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	6.8599e-19	0	6.8599e-19	0	-512.7465	0	-512.7465	0	30531.45	77194.93	0.001	8554.591	3607132	0	0	0	0	0	0	0	0	0	0	0	
0.252252	1560	3.45e+19	0	0	100000	1.9752	1.000036e-05	7.331149e+21	7.204763e+21	7.204763e+21	0	1.23255e+20	3.131848e+18	5.326049e+20	5.234229e+20	5.234229e+20	0	8.954425e+18	2.275274e+17	0.0004271974	8.43742e+20	0	0	0	8.228342e+20	2.09078e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.997245e+13	160.2608	507.4733	4.018065e-09	3.45121e-17	4.58168e-26	0.0006892913	0.5	2.745123e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477982	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0248	0	7.080787e-19	0	7.080787e-19	0	-512.3354	0	-512.3354	0	30528.36	77194.93	0.001	8553.725	3607132	0	0	0	0	0	0	0	0	0	0	0	
0.504504	1560	3.45e+19	0	0	100000	1.9754	1.000072e-05	1.46623e+22	1.441307e+22	5.61369e+21	8.79938e+21	2.430535e+20	6.175742e+18	1.06521e+21	1.047103e+21	4.078322e+20	6.392712e+20	1.765773e+19	4.48665e+17	0.0004211987	1.687484e+21	0	0	0	1.446095e+21	3.67439e+19	2.046451e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	3.327636e+13	1.372241e+22	6.20328e+21	1.92259e+15	6.203278e+21	3.320948e+21	5104855	3.320948e+21	1.240656e+22	8081697	1.240656e+22	3.696904e+21	5.908323e+07	3.696904e+21	1.184263e+22	9.638702e+14	1.184263e+22	1.047495e+24	0	0	1.99551e+13	286.9002	1245.702	5.131436e-09	5.628793e-17	9.543126e-26	0.001123231	0.5	5.71261e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477883	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0246	0	7.310613e-19	0	7.310613e-19	0	-511.9212	0	-511.9212	0	30525.27	77194.93	0.01030077	8552.859	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
0.756756	1560	3.45e+19	0	0	100000	1.9756	1.000107e-05	2.199345e+22	2.161918e+22	6.578873e+21	1.504031e+22	3.649912e+20	9.273863e+18	1.597815e+21	1.570624e+21	4.779523e+20	1.092672e+21	2.651645e+19	6.737422e+17	0.0004216648	2.531226e+21	0	0	0	2.169144e+21	5.511469e+19	3.069677e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	5.310351e+13	2.058361e+22	9.30492e+21	2.846312e+15	9.304918e+21	4.981422e+21	7638488	4.981422e+21	1.860984e+22	1.209279e+07	1.860984e+22	5.545357e+21	8.840731e+07	5.545357e+21	1.776394e+22	1.442257e+15	1.776394e+22	1.198468e+24	4.255828e-11	3.869609e-07	1.993681e+13	430.9035	2267.507	6.090135e-09	7.928505e-17	1.595345e-25	0.001580691	0.5	9.540806e-07	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477784	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0244	0	7.549815e-19	0	7.549815e-19	0	-511.5036	0	-511.5036	0	30522.18	77194.93	0.01545116	8551.994	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
1.009008	1560	3.45e+19	0	0	100000	1.9758	1.000142e-05	2.93246e+22	2.882345e+22	7.401728e+21	2.142172e+22	4.887309e+20	1.241764e+19	2.130419e+21	2.094011e+21	5.377323e+20	1.556279e+21	3.550609e+19	9.021363e+17	0.0004234548	3.374968e+21	0	0	0	2.892193e+21	7.348476e+19	4.092902e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	7.539396e+13	2.744482e+22	1.240656e+22	3.742573e+15	1.240656e+22	6.641896e+21	1.016327e+07	6.641896e+21	2.481312e+22	1.608987e+07	2.481312e+22	7.393809e+21	1.17629e+08	7.393809e+21	2.368525e+22	1.918972e+15	2.368525e+22	1.210695e+24	5.07198e-11	6.616921e-07	1.991901e+13	575.5009	3486.791	6.897664e-09	1.017048e-16	2.317822e-25	0.00202586	0.5	1.384864e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477685	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0242	0	7.798857e-19	0	7.798857e-19	0	-511.0827	0	-511.0827	0	30519.09	77194.93	0.02060154	8551.128	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
1.26126	1560	3.45e+19	0	0	100000	1.976	1.000177e-05	3.665575e+22	3.602398e+22	9.070728e+21	2.695326e+22	6.161098e+20	1.565374e+19	2.663024e+21	2.617127e+21	6.589845e+20	1.958143e+21	4.476011e+19	1.137238e+18	0.0004270475	4.21871e+21	0	0	0	3.615243e+21	9.185409e+19	5.116128e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	1.00488e+14	3.430602e+22	1.55082e+22	4.617156e+15	1.55082e+22	8.30237e+21	1.268806e+07	8.30237e+21	3.10164e+22	2.008696e+07	3.10164e+22	9.242261e+21	1.468506e+08	9.242261e+21	2.960656e+22	2.395688e+15	2.960656e+22	1.205399e+24	5.717581e-11	9.437491e-07	1.990163e+13	721.0421	4866.131	7.605165e-09	1.236388e-16	3.106704e-25	0.002460614	0.5	1.854525e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477586	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.024	0	8.058226e-19	0	8.058226e-19	0	-510.6583	0	-510.6583	0	30516	77194.93	0.02575193	8550.263	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
1.513512	1560	3.45e+19	0	0	100000	1.9762	1.000212e-05	4.39869e+22	4.322065e+22	1.081923e+22	3.240142e+22	7.472594e+20	1.898551e+19	3.195629e+21	3.139962e+21	7.860125e+20	2.353949e+21	5.428807e+19	1.379289e+18	0.0004316173	5.062452e+21	0	0	0	4.338294e+21	1.102227e+20	6.139353e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	1.286993e+14	4.116722e+22	1.860984e+22	5.470341e+15	1.860984e+22	9.962844e+21	1.521284e+07	9.962844e+21	3.721968e+22	2.408405e+07	3.721968e+22	1.109071e+22	1.760723e+08	1.109071e+22	3.552788e+22	2.872404e+15	3.552788e+22	1.194765e+24	6.191171e-11	1.187653e-06	1.988458e+13	867.548	6384.891	8.241476e-09	1.451936e-16	3.953565e-25	0.002887114	0.5	2.35795e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477486	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0238	0	8.328441e-19	0	8.328441e-19	0	-510.2305	0	-510.2305	0	30512.91	77194.93	0.03090232	8549.397	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
1.765764	1560	3.45e+19	0	0	100000	1.9764	1.000246e-05	5.131805e+22	5.041338e+22	1.262193e+22	3.779145e+22	8.822533e+20	2.241479e+19	3.728234e+21	3.66251e+21	9.169778e+20	2.745533e+21	6.409533e+19	1.628425e+18	0.0004367819	5.906194e+21	0	0	0	5.061346e+21	1.285905e+20	7.162578e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	1.603776e+14	4.802843e+22	2.171148e+22	6.302394e+15	2.171147e+22	1.162332e+22	1.773763e+07	1.162332e+22	4.342296e+22	2.808114e+07	4.342296e+22	1.293917e+22	2.05294e+08	1.293917e+22	4.144919e+22	3.34912e+15	4.144919e+22	1.184132e+24	6.602887e-11	1.427876e-06	1.986779e+13	1015.031	8029.82	8.824266e-09	1.664541e-16	4.852993e-25	0.003307076	0.5	2.891835e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477387	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0236	0	8.610048e-19	0	8.610048e-19	0	-509.7992	0	-509.7992	0	30509.82	77194.93	0.03605271	8548.532	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
2.018016	1560	3.45e+19	0	0	100000	1.9766	1.00028e-05	5.86492e+22	5.760218e+22	1.443964e+22	4.316254e+22	1.021079e+21	2.594126e+19	4.260839e+21	4.184773e+21	1.049033e+21	3.13574e+21	7.418094e+19	1.884622e+18	0.0004423124	6.749936e+21	0	0	0	5.784398e+21	1.469577e+20	8.185802e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	1.959116e+14	5.488963e+22	2.481312e+22	7.113593e+15	2.481311e+22	1.328379e+22	2.026242e+07	1.328379e+22	4.962624e+22	3.207824e+07	4.962624e+22	1.478762e+22	2.345158e+08	1.478762e+22	4.73705e+22	3.825837e+15	4.73705e+22	1.174361e+24	6.969789e-11	1.665517e-06	1.985121e+13	1163.487	9791.383	9.365086e-09	1.874826e-16	5.801084e-25	0.003721757	0.5	3.453788e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477287	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0234	0	8.903629e-19	0	8.903629e-19	0	-509.3644	0	-509.3644	0	30506.74	77194.93	0.0412031	8547.667	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
2.270268	1560	3.45e+19	0	0	100000	1.9768	1.000314e-05	6.598034e+22	6.478707e+22	1.626452e+22	4.852256e+22	1.163706e+21	2.956417e+19	4.793444e+21	4.706753e+21	1.18161e+21	3.525143e+21	8.454276e+19	2.147824e+18	0.0004480753	7.593678e+21	0	0	0	6.507451e+21	1.65324e+20	9.209027e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	2.357352e+14	6.175084e+22	2.791476e+22	7.904205e+15	2.791475e+22	1.494427e+22	2.278722e+07	1.494427e+22	5.582952e+22	3.607534e+07	5.582952e+22	1.663607e+22	2.637376e+08	1.663607e+22	5.329182e+22	4.302555e+15	5.329181e+22	1.165583e+24	7.303839e-11	1.902329e-06	1.983481e+13	1312.91	11662.27	9.871924e-09	2.083248e-16	6.794842e-25	0.004132083	0.5	4.041961e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02477187	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0232	0	9.209798e-19	0	9.209798e-19	0	-508.9259	0	-508.9259	0	30503.65	77194.93	0.04635348	8546.803	3607132	1.106061	0	0	0	1	2	0	0	0	0	0	
