Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	JOG (liquid oxide) (/)	JOG (Perovskite) (/)	JOG (Ba3MoO6) (/)	JOG (BaO) (/)	JOG (other phases) (/)	JOG (HCP) (/)	JOG (MoPd2) (/)	JOG (FCC) (/)	JOG (liquid metallic) (/)	JOG (MoO2) (/)	JOG (Sigma) (/)	
0	2003	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03121663	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	7.837172e-13	0	7.837172e-13	0	-426.0665	0	-426.0665	0	30531.45	77194.93	0.001	8554.591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.252252	2003	3.45e+19	0	0	100070	1.9746	1.010662e-05	7.331149e+21	6.929997e+21	6.929997e+21	0	3.886573e+20	1.249466e+19	5.326049e+20	5.034614e+20	5.034614e+20	0	2.823579e+19	9.077319e+17	0.001704325	8.992607e+20	0	0	0	8.712515e+20	2.800923e+19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+21	6.861204e+21	0	3.10164e+21	3.10164e+21	0	1.660474e+21	1.660474e+21	0	6.20328e+21	6.20328e+21	0	1.848452e+21	1.848452e+21	0	5.921313e+21	5.921313e+21	0	7.182081e+23	0	0	1.996359e+13	218.2411	953.0519	4.621452e-09	4.565563e-17	6.971227e-26	0.00091145	0.5	4.131074e-07	1	0.001070361	0.0001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03114692	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0254	0	7.49101e-13	0	7.49101e-13	0	-426.8188	0	-426.8188	0	30537.63	77194.93	0.001	8556.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.504504	2003	3.45e+19	0	0	100140	1.9742	1.021164e-05	1.46623e+22	1.413578e+22	2.583241e+20	1.387745e+22	5.101295e+20	1.63908e+19	1.06521e+21	1.026958e+21	1.876713e+19	1.008191e+21	3.706069e+19	1.190784e+18	0.001117887	1.798521e+21	0	0	0	1.635544e+21	5.252337e+19	1.104542e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.372241e+22	3.232721e+15	1.37224e+22	6.20328e+21	7.702193e+17	6.20251e+21	3.320948e+21	2.578958e+11	3.320948e+21	1.240656e+22	6.140495e+11	1.240656e+22	3.696904e+21	1.802815e+12	3.696904e+21	1.184263e+22	6.309633e+17	1.1842e+22	1.047495e+24	0	0	1.993879e+13	374.4249	2374.196	5.994193e-09	7.680667e-17	1.521129e-25	0.001531432	0.5	8.91027e-07	1	0.002140722	0.0002662097	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03107746	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0258	0	7.163026e-13	0	7.163026e-13	0	-427.5644	0	-427.5644	0	30543.82	77194.93	0.01646201	8558.059	1.006454	0.0901195	5.996892	5.019121	1	2	0	0	3.247788e-07	0	0	0	0	6.448232e-07	0	0	0	0	0	
0.756756	2003	3.45e+19	0	0	100210	1.9738	1.03151e-05	2.199345e+22	2.133975e+22	2.689273e+20	2.107082e+22	6.333633e+20	2.033435e+19	1.597815e+21	1.550324e+21	1.953745e+19	1.530786e+21	4.601357e+19	1.477282e+18	0.0009245639	2.697782e+21	0	0	0	2.453639e+21	7.870288e+19	1.654403e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.058361e+22	4.442349e+15	2.058361e+22	9.30492e+21	1.173434e+18	9.303747e+21	4.981422e+21	3.849447e+11	4.981422e+21	1.860984e+22	9.156401e+11	1.860984e+22	5.545357e+21	2.684595e+12	5.545357e+21	1.776394e+22	9.405636e+17	1.7763e+22	1.198468e+24	4.952342e-11	6.09743e-07	1.99135e+13	543.7536	4270.121	7.130662e-09	1.086919e-16	2.560728e-25	0.002164436	0.5	1.483061e-06	1	0.003211083	0.0003993145	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03100825	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0262	0	6.852097e-13	0	6.852097e-13	0	-428.3034	0	-428.3034	0	30550.01	77194.93	0.02458044	8559.793	1.007661	0.08902693	5.996692	5.080709	1	2	0	0	4.859654e-07	0	0	0	0	9.675953e-07	0	0	0	0	0	
1.009008	2003	3.45e+19	0	0	100280	1.9734	1.041706e-05	2.93246e+22	2.854257e+22	2.809974e+20	2.826157e+22	7.577228e+20	2.430479e+19	2.130419e+21	2.073606e+21	2.041434e+19	2.053191e+21	5.504823e+19	1.765733e+18	0.0008288192	3.597043e+21	0	0	0	3.27193e+21	1.048286e+20	2.202841e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.744482e+22	5.43892e+15	2.744481e+22	1.240656e+22	1.591303e+18	1.240497e+22	6.641896e+21	5.115571e+11	6.641896e+21	2.481312e+22	1.215608e+12	2.481312e+22	7.393809e+21	3.559276e+12	7.393809e+21	2.368525e+22	1.248307e+18	2.3684e+22	1.20164e+24	5.68796e-11	9.262591e-07	1.98882e+13	716.9723	6565.596	8.111663e-09	1.406557e-16	3.769673e-25	0.002797388	0.5	2.159113e-06	1	0.004281444	0.0005324193	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03093928	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0266	0	6.557182e-13	0	6.557182e-13	0	-429.036	0	-429.036	0	30556.21	77194.93	0.03262555	8561.529	1.008855	0.08794707	5.996482	5.143086	1	2	0	0	6.463706e-07	0	0	0	0	1.290602e-06	0	0	0	0	0	
1.26126	2003	3.45e+19	0	0	100350	1.973	1.051756e-05	3.665575e+22	3.574112e+22	3.461209e+20	3.5395e+22	8.862295e+20	2.839824e+19	2.663024e+21	2.596577e+21	2.514554e+19	2.571432e+21	6.43842e+19	2.06312e+18	0.0007747281	4.496304e+21	0	0	0	4.090405e+21	1.309002e+20	2.749981e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.430602e+22	6.253908e+15	3.430601e+22	1.55082e+22	2.024823e+18	1.550618e+22	8.30237e+21	6.379983e+11	8.30237e+21	3.10164e+22	1.514599e+12	3.10164e+22	9.242261e+21	4.428816e+12	9.242261e+21	2.960656e+22	1.554862e+18	2.960501e+22	1.193525e+24	6.289698e-11	1.243969e-06	1.986279e+13	894.64	9228.32	8.992077e-09	1.728452e-16	5.135159e-25	0.003433189	0.5	2.909379e-06	1	0.005351805	0.0006655241	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03087056	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.027	0	6.277316e-13	0	6.277316e-13	0	-429.7624	0	-429.7624	0	30562.4	77194.93	0.04059864	8563.265	1.010035	0.08687979	5.99626	5.206258	1	2	0	0	8.060094e-07	0	0	0	0	1.61384e-06	0	0	0	0	0	
1.513512	2003	3.45e+19	0	0	100420	1.9726	1.061665e-05	4.39869e+22	4.293545e+22	4.140795e+20	4.252137e+22	1.018838e+21	3.261266e+19	3.195629e+21	3.119242e+21	3.00827e+19	3.089159e+21	7.401812e+19	2.369296e+18	0.0007414177	5.395564e+21	0	0	0	4.909052e+21	1.569177e+20	3.295945e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.116722e+22	6.911772e+15	4.116722e+22	1.860984e+22	2.474199e+18	1.860737e+22	9.962844e+21	7.642668e+11	9.962844e+21	3.721968e+22	1.812622e+12	3.721968e+22	1.109071e+22	5.293303e+12	1.109071e+22	3.552788e+22	1.860243e+18	3.552602e+22	1.182347e+24	6.801272e-11	1.558131e-06	1.983719e+13	1076.727	12241.53	9.801408e-09	2.053593e-16	6.650271e-25	0.004073752	0.5	3.727804e-06	1	0.006422166	0.000798629	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03080209	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0274	0	6.011601e-13	0	6.011601e-13	0	-430.4827	0	-430.4827	0	30568.6	77194.93	0.0485009	8565.002	1.011201	0.08582473	5.996025	5.270251	1	2	0	0	9.648959e-07	0	0	0	0	1.937304e-06	0	0	0	0	0	
1.765764	2003	3.45e+19	0	0	100490	1.9722	1.071438e-05	5.131805e+22	5.012566e+22	4.836348e+20	4.964203e+22	1.155439e+21	3.694408e+19	3.728234e+21	3.641608e+21	3.513586e+19	3.606472e+21	8.394216e+19	2.683972e+18	0.0007199043	6.294825e+21	0	0	0	5.72786e+21	1.828808e+20	3.840838e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802843e+22	7.433947e+15	4.802842e+22	2.171148e+22	2.939631e+18	2.170854e+22	1.162332e+22	8.903614e+11	1.162332e+22	4.342296e+22	2.109687e+12	4.342296e+22	1.293917e+22	6.152824e+12	1.293917e+22	4.144919e+22	2.164464e+18	4.144703e+22	1.171098e+24	7.253357e-11	1.871971e-06	1.981135e+13	1263.195	15596.15	1.055757e-08	2.382678e-16	8.311241e-25	0.004720407	0.5	4.610351e-06	1	0.007492527	0.0009317338	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03073386	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0278	0	5.759203e-13	0	5.759203e-13	0	-431.1969	0	-431.1969	0	30574.8	77194.93	0.05633355	8566.739	1.012354	0.08478175	5.995778	5.335076	1	2	0	0	1.123044e-06	0	0	0	0	2.260992e-06	0	0	0	0	0	
2.018016	2003	3.45e+19	0	0	100560	1.9718	1.081078e-05	5.86492e+22	5.731192e+22	5.539996e+20	5.675792e+22	1.29589e+21	4.138738e+19	4.260839e+21	4.163686e+21	4.024783e+19	4.123439e+21	9.414582e+19	3.006776e+18	0.0007056769	7.194086e+21	0	0	0	6.546819e+21	2.087895e+20	4.384768e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.488963e+22	7.839041e+15	5.488962e+22	2.481312e+22	3.421329e+18	2.48097e+22	1.328379e+22	1.016281e+12	1.328379e+22	4.962624e+22	2.405803e+12	4.962624e+22	1.478762e+22	7.007463e+12	1.478762e+22	4.73705e+22	2.46754e+18	4.736804e+22	1.160654e+24	7.660496e-11	2.185558e-06	1.978523e+13	1454	19287.23	1.127227e-08	2.716189e-16	1.011597e-24	0.005374041	0.5	5.554089e-06	1	0.008562888	0.001064839	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03066587	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0282	0	5.519346e-13	0	5.519346e-13	0	-431.9053	0	-431.9053	0	30581.01	77194.93	0.06409775	8568.477	1.013494	0.08375052	5.995518	5.400758	1	2	0	0	1.280468e-06	0	0	0	0	2.584898e-06	0	0	0	0	0	
2.270268	2003	3.45e+19	0	0	100630	1.9714	1.09059e-05	6.598034e+22	6.449437e+22	6.248053e+20	6.386957e+22	1.440034e+21	4.593715e+19	4.793444e+21	4.685489e+21	4.539184e+19	4.640097e+21	1.046178e+20	3.337314e+18	0.0006962248	8.093346e+21	0	0	0	7.36592e+21	2.346435e+20	4.927831e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.175084e+22	8.143364e+15	6.175083e+22	2.791476e+22	3.919494e+18	2.791084e+22	1.494427e+22	1.142024e+12	1.494427e+22	5.582952e+22	2.70098e+12	5.582952e+22	1.663607e+22	7.857303e+12	1.663607e+22	5.329182e+22	2.769484e+18	5.328905e+22	1.151183e+24	8.032318e-11	2.498938e-06	1.975881e+13	1649.097	23312.22	1.195359e-08	3.054456e-16	1.206336e-24	0.006035239	0.5	6.556756e-06	1	0.009633249	0.001197943	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03059813	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0286	0	5.291306e-13	0	5.291306e-13	0	-432.608	0	-432.608	0	30587.21	77194.93	0.07179463	8570.216	1.014621	0.08273087	5.995244	5.467312	1	2	0	0	1.437181e-06	0	0	0	0	2.90902e-06	0	0	0	0	0	
2.52252	2003	3.45e+19	0	0	100700	1.971	1.099976e-05	7.331149e+22	7.167319e+22	6.958661e+20	7.097732e+22	1.587717e+21	5.058802e+19	5.326049e+21	5.207027e+21	5.055438e+19	5.156472e+21	1.15347e+20	3.675198e+18	0.0006900421	8.992607e+21	0	0	0	8.185153e+21	2.60443e+20	5.470116e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.861204e+22	8.361119e+15	6.861203e+22	3.10164e+22	4.434337e+18	3.101197e+22	1.660474e+22	1.267589e+12	1.660474e+22	6.20328e+22	2.995227e+12	6.20328e+22	1.848452e+22	8.702423e+12	1.848452e+22	5.921313e+22	3.07031e+18	5.921006e+22	1.142616e+24	8.3756e-11	2.812137e-06	1.973207e+13	1848.443	27670.16	1.260737e-08	3.39771e-16	1.415296e-24	0.006704384	0.5	7.616541e-06	1	0.01070361	0.001331048	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03053064	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.029	0	5.074406e-13	0	5.074406e-13	0	-433.305	0	-433.305	0	30593.42	77194.93	0.07942529	8571.956	1.015735	0.08172256	5.994955	5.534758	1	2	0	0	1.593195e-06	0	0	0	0	3.233355e-06	0	0	0	0	0	
2.774772	2003	3.45e+19	0	0	100770	1.9706	1.109241e-05	8.064264e+22	7.884852e+22	7.670938e+20	7.808143e+22	1.73879e+21	5.533483e+19	5.858654e+21	5.728311e+21	5.572904e+19	5.672582e+21	1.263223e+20	4.020052e+18	0.0006861733	9.891868e+21	0	0	0	9.004509e+21	2.861877e+20	6.011709e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.547324e+22	8.504709e+15	7.547323e+22	3.411804e+22	4.966062e+18	3.411308e+22	1.826521e+22	1.392976e+12	1.826521e+22	6.823608e+22	3.288553e+12	6.823608e+22	2.033297e+22	9.542901e+12	2.033297e+22	6.513444e+22	3.370032e+18	6.513107e+22	1.134827e+24	8.695311e-11	3.125171e-06	1.9705e+13	2051.996	32361.13	1.323798e-08	3.746115e-16	1.638473e-24	0.00738172	0.5	8.731951e-06	1	0.01177397	0.001464153	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0304634	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0294	0	4.868018e-13	0	4.868018e-13	0	-433.9965	0	-433.9965	0	30599.63	77194.93	0.08699083	8573.696	1.016838	0.0807254	5.99465	5.603116	1	2	0	0	1.748524e-06	0	0	0	0	3.557898e-06	0	0	0	0	0	
3.027024	2003	3.45e+19	0	0	100840	1.9702	1.118387e-05	8.797379e+22	8.602051e+22	8.384491e+20	8.518206e+22	1.893112e+21	6.017272e+19	6.391258e+21	6.249353e+21	6.091297e+19	6.18844e+21	1.375338e+20	4.371522e+18	0.0006839846	1.079113e+22	0	0	0	9.823982e+21	3.118776e+20	6.552693e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.233445e+22	8.584972e+15	8.233444e+22	3.721968e+22	5.514876e+18	3.721417e+22	1.992569e+22	1.518184e+12	1.992569e+22	7.443936e+22	3.580967e+12	7.443936e+22	2.218143e+22	1.037882e+13	2.218143e+22	7.105576e+22	3.668663e+18	7.105209e+22	1.127693e+24	8.995202e-11	3.43805e-06	1.96776e+13	2259.717	37386.03	1.384879e-08	4.099788e-16	1.875901e-24	0.0080674	0.5	9.901729e-06	1	0.01284433	0.001597258	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0303964	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0298	0	4.671552e-13	0	4.671552e-13	0	-434.6825	0	-434.6825	0	30605.85	77194.93	0.0944923	8575.437	1.017928	0.07973921	5.99433	5.672403	1	2	0	0	1.903179e-06	0	0	0	0	3.882646e-06	0	0	0	0	0	
3.279276	2003	3.45e+19	0	0	100910	1.9698	1.127419e-05	9.530494e+22	9.31893e+22	9.099164e+20	9.227938e+22	2.050549e+21	6.509712e+19	6.923863e+21	6.770163e+21	6.610504e+19	6.704057e+21	1.489715e+20	4.729278e+18	0.0006830403	1.169039e+22	0	0	0	1.064356e+22	3.375128e+20	7.093137e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.919565e+22	8.611337e+15	8.919564e+22	4.032132e+22	6.080988e+18	4.031524e+22	2.158616e+22	1.643213e+12	2.158616e+22	8.064264e+22	3.872478e+12	8.064264e+22	2.402988e+22	1.121024e+13	2.402988e+22	7.697707e+22	3.966216e+18	7.69731e+22	1.121106e+24	9.278168e-11	3.750782e-06	1.964987e+13	2471.569	42746.34	1.444245e-08	4.458813e-16	2.127633e-24	0.00876151	0.5	1.11248e-05	1	0.01391469	0.001730363	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03032965	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0302	0	4.484458e-13	0	4.484458e-13	0	-435.3632	0	-435.3632	0	30612.06	77194.93	0.1019307	8577.179	1.019006	0.07876384	5.993993	5.742636	1	2	0	0	2.057172e-06	0	0	0	0	4.207596e-06	0	0	0	0	0	
3.531528	2003	3.45e+19	0	0	100980	1.9694	1.136338e-05	1.026361e+23	1.00355e+23	9.814902e+20	9.937352e+22	2.210979e+21	7.010376e+19	7.456468e+21	7.290749e+21	7.130485e+19	7.219444e+21	1.606267e+20	5.093008e+18	0.0006830323	1.258965e+22	0	0	0	1.146325e+22	3.630932e+20	7.633117e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.605686e+22	8.592022e+15	9.605685e+22	4.342296e+22	6.664607e+18	4.34163e+22	2.324664e+22	1.76806e+12	2.324664e+22	8.684592e+22	4.163095e+12	8.684592e+22	2.587833e+22	1.203725e+13	2.587833e+22	8.289838e+22	4.262703e+18	8.289412e+22	1.11498e+24	9.546489e-11	4.063373e-06	1.96218e+13	2687.517	48444	1.502109e-08	4.823253e-16	2.393745e-24	0.009464089	0.5	1.240024e-05	1	0.01498505	0.001863468	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03026315	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0306	0	4.306218e-13	0	4.306218e-13	0	-436.0386	0	-436.0386	0	30618.28	77194.93	0.1093071	8578.921	1.020072	0.07779901	5.993638	5.813842	1	2	0	0	2.210515e-06	0	0	0	0	4.532745e-06	0	0	0	0	0	
3.78378	2003	3.45e+19	0	0	101050	1.969	1.145149e-05	1.099672e+23	1.075178e+23	1.05317e+21	1.064646e+23	2.374285e+21	7.518865e+19	7.989073e+21	7.81112e+21	7.651234e+19	7.734608e+21	1.724908e+20	5.462423e+18	0.0006837368	1.348891e+22	0	0	0	1.228302e+22	3.886188e+20	8.172702e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.029181e+23	8.5342e+15	1.029181e+23	4.65246e+22	7.265942e+18	4.651734e+22	2.490711e+22	1.892727e+12	2.490711e+22	9.30492e+22	4.452827e+12	9.30492e+22	2.772678e+22	1.285992e+13	2.772678e+22	8.881969e+22	4.558138e+18	8.881514e+22	1.109247e+24	9.801995e-11	4.375829e-06	1.959339e+13	2907.53	54481.31	1.558644e-08	5.193152e-16	2.674326e-24	0.01017514	0.5	1.372724e-05	1	0.01605542	0.001996572	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0301969	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.031	0	4.136351e-13	0	4.136351e-13	0	-436.7088	0	-436.7088	0	30624.5	77194.93	0.1166225	8580.665	1.021127	0.0768446	5.993265	5.886038	1	2	0	0	2.363219e-06	0	0	0	0	4.858089e-06	0	0	0	0	0	
4.036032	2003	3.45e+19	0	0	101120	1.9686	1.153852e-05	1.172984e+23	1.146777e+23	1.124956e+21	1.135527e+23	2.540358e+21	8.034805e+19	8.521678e+21	8.331285e+21	8.172755e+19	8.249557e+21	1.845559e+20	5.837251e+18	0.0006849885	1.438817e+22	0	0	0	1.310289e+22	4.140896e+20	8.711947e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.097793e+23	8.444114e+15	1.097793e+23	4.962624e+22	7.885201e+18	4.961836e+22	2.656758e+22	2.017211e+12	2.656758e+22	9.925248e+22	4.741683e+12	9.925248e+22	2.957524e+22	1.367831e+13	2.957524e+22	9.474101e+22	4.852534e+18	9.473616e+22	1.103853e+24	1.004617e-10	4.688155e-06	1.956464e+13	3131.578	60860.86	1.613995e-08	5.568544e-16	2.969479e-24	0.01089466	0.5	1.510508e-05	1	0.01712578	0.002129677	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0301309	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0314	0	3.974404e-13	0	3.974404e-13	0	-437.3739	0	-437.3739	0	30630.73	77194.93	0.1238777	8582.408	1.022171	0.07590044	5.992873	5.959244	1	2	0	0	2.515296e-06	0	0	0	0	5.183625e-06	0	0	0	0	0	
4.288284	2003	3.45e+19	0	0	101190	1.9682	1.162453e-05	1.246295e+23	1.218349e+23	1.196849e+21	1.20638e+23	2.709095e+21	8.557844e+19	9.054283e+21	8.851251e+21	8.695055e+19	8.7643e+21	1.968146e+20	6.217237e+18	0.0006866626	1.528743e+22	0	0	0	1.392283e+22	4.395057e+20	9.250921e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.166405e+23	8.327231e+15	1.166405e+23	5.272788e+22	8.522583e+18	5.271936e+22	2.822806e+22	2.141514e+12	2.822806e+22	1.054558e+23	5.029672e+12	1.054558e+23	3.142369e+22	1.449249e+13	3.142369e+22	1.006623e+23	5.145902e+18	1.006572e+23	1.098754e+24	1.028026e-10	5.000355e-06	1.953556e+13	3359.634	67585.5	1.668283e-08	5.949452e-16	3.279315e-24	0.01162259	0.5	1.653313e-05	1	0.01819614	0.002262782	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03006516	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0318	0	3.819951e-13	0	3.819951e-13	0	-438.034	0	-438.034	0	30636.95	77194.93	0.1310739	8584.153	1.023203	0.07496644	5.99246	6.033478	1	2	0	0	2.666756e-06	0	0	0	0	5.509351e-06	0	0	0	0	0	
