time,burnup_percent_fima,c,mb,md,Nb,Nd,Vb,Vd,Rb,Rd,nvb,nvd,generated,retained,q_gb,swelling_b,swelling_d,swelling_ig,p_b,p_d,p_b_eq,p_d_eq,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent
0.0,0.0,0.0,0.0,0.0,0.0,1.3869765512571607e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000000000.0,2220000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,0.0008058443536710006,5.325642800397572e+22,0.0,1.1183184654481955e+22,0.0,1.3869097062248071e+19,0.0,8.89079576474296e-26,0.0,2.76875168720598e-09,0.0,9.669900805559292e+21,6.620065531774148e+22,6.443961265845768e+22,1.7610426592838057e+21,0.0,1.2330730942184417e-06,1.2330730942184417e-06,0.0,874473436.6703751,2220000000000000.0,801805380.4746429,1.0,0.0,0.0,0.0,1.9193482453321068e-07,1.9193482453321068e-07,1.9193482453321068e-07,1.9193482453321068e-07,0.0,1.9193482453321068e-07,80.44698009160528,0.0,16.89286095553938,2.6601589528553413
7200.0,0.0016116887073420012,9.678921995988447e+22,0.0,3.157293701853873e+22,1114849570962733.8,1.3867839240992274e+19,0.0,2.562437306427613e-25,0.0,3.9402297561603115e-09,0.0,2.9774388966283595e+22,1.3240131063548297e+23,1.2836215697842319e+23,4.0391536570597774e+21,0.0,3.5535468630659396e-06,3.5535468630659396e-06,0.0,801817019.7308855,2220000000000000.0,563418921.5817083,1.0000030826895776,309680548238.9656,0.0,0.0012417141400427993,3.6121231732220543e-07,3.6121231732220543e-07,5.531471418554161e-07,5.531471418554161e-07,402697542.45242804,3.6121231732220543e-07,73.10291680295903,0.0,23.846393111215413,3.050690085825557
10800.0,0.002417533061013002,1.3257258439460494e+23,397578900427775.75,5.908351960806282e+22,4797207146957257.0,1.3865787905817686e+19,7.142629441787967e-30,5.292495120510116e-25,1.194693507177861e-10,5.017922532576057e-09,16103806971388.037,7.928780054238404e+22,1.9860196595322444e+23,1.9165610440024662e+23,6.945861552977819e+21,3.426467300621256e-14,7.338461483356828e-06,7.338461517621501e-06,18668005359.696022,563460054.0769978,18582171801.068436,442414163.54833925,1.0000088839239827,1022878000949.1727,0.0,0.00043942485002344,6.727706828308214e-07,6.727706828308214e-07,1.2259178246862376e-06,1.2259178246862376e-06,3630120041.7069964,6.727706828308214e-07,66.75290637648017,2.0018880403299492e-07,29.74971537893961,3.4973780443914326
14400.0,0.0032233774146840023,1.6227047208132882e+23,3648685421465994.5,9.225043035158554e+22,1.1705633686045088e+16,1.3863019932299395e+19,2.68653373659231e-29,8.978285829223843e-25,1.8579523134621175e-10,5.984597396877385e-09,148471499684032.1,1.5763786237598277e+23,2.6480262127096593e+23,2.5452090608159974e+23,1.0281715189366192e+22,3.1447579805751526e-13,1.2446615540841135e-05,1.2446615855316933e-05,18582171801.068474,442497690.80743176,11948638207.313519,370952271.7699174,1.0000183463960497,1919010291597.5137,0.0,0.00023473623102707446,8.979141209278755e-07,8.979141209278755e-07,2.123831945614113e-06,2.123831945614113e-06,14140783260.488823,8.979141209278755e-07,61.279783146588066,1.377888709693846e-06,34.83743095472909,3.8827845207941385
18000.0,0.004029221768355003,1.8713428875304765e+23,1.444113071712746e+16,1.29891999143682e+23,2.2055871468278384e+16,1.3859592584879993e+19,5.686443009185099e-29,1.3545198916735687e-24,2.385525301731392e-10,6.863815365871341e-09,913873181375689.5,2.6467145828431312e+23,3.310032765887074e+23,3.1702630233786034e+23,1.3976974250847051e+22,1.254194561222767e-12,1.8773093846711443e-05,1.8773095100906003e-05,11948638207.313766,371089303.02843153,9306126404.90019,323435273.4833766,1.000031117235998,2875072879155.9106,0.0,0.00015029852403822014,1.1145649185140752e-06,1.1145649185140752e-06,3.238396864128188e-06,3.238396864128188e-06,38723511245.33365,1.1145649185140752e-06,56.53547925012655,4.3628361827582395e-06,39.24190735582388,4.222609031213407
21600.0,0.004835066122026004,2.081579795626964e+23,3.958258495633867e+16,1.7106969716721883e+23,3.5820915803071936e+16,1.3855560631023434e+19,9.654914348436654e-29,1.8922115747643696e-24,2.84590198574932e-10,7.672914552559984e-09,3216165213173761.0,3.9968793714286626e+23,3.972039319064489e+23,3.792277163125001e+23,1.7976215593948803e+22,3.458478739612205e-12,2.6217652200872054e-05,2.6217655659350794e-05,9306126404.901012,323634781.9413905,7800690294.734373,289329430.7909791,1.0000469343205936,3823636515691.7686,0.0,0.00010671228147233587,1.31547822748876e-06,1.31547822748876e-06,4.553875091616948e-06,4.553875091616948e-06,85845208060.54904,1.31547822748876e-06,52.405820497195535,9.96530542040589e-06,43.06848030082186,4.525689236677203
25200.0,0.005640910475697003,2.2612945158962287e+23,8.751611024456789e+16,2.1503967279054403e+23,2.7884352816282516e+16,1.3850978078229598e+19,2.756636278822128e-28,2.503900622033452e-24,4.0373551356796354e-10,8.423828042502382e-09,8483168937310737.0,5.61469052788594e+23,4.634045872241904e+23,4.411692118962771e+23,2.223537532791328e+22,7.686701858484037e-12,3.46814726258508e-05,3.468148031255266e-05,7800690294.736808,289598235.70812136,5498649302.314329,263538143.08637372,1.0000655472237723,4731033098542.309,9.522611995784933,8.100021899801532e-05,1.6618005543288519e-06,1.6618005543288519e-06,6.2156756459458005e-06,6.2156756459458005e-06,132183518032.7778,1.6618005543288519e-06,48.79741328072434,1.8885464809226952e-05,46.40430386730506,4.798263966505803
28800.0,0.006446754829368005,2.4167317346907327e+23,1.3307104854107274e+17,2.6121253932630323e+23,4.597643172581166e+16,1.3845896593327176e+19,2.5764594991202774e-28,3.1828960519144584e-24,3.947403939501656e-10,9.125246721354812e-09,1.8299140938710564e+16,7.484947558932558e+23,5.296052425419319e+23,5.028858458664251e+23,2.67193966755068e+22,1.1845641425562236e-11,4.407004960211692e-05,4.407006144775834e-05,5498649302.319784,263881171.85378316,5623949395.663486,243281093.40920922,1.0000867090944772,5583211985926.718,0.4676091066042608,6.44154174669761e-05,1.5789561732740956e-06,1.5789561732740956e-06,7.794631819219897e-06,7.794631819219897e-06,204778403355.50543,1.6618005543288519e-06,45.63270036926393,2.512645983305891e-05,49.32212114679388,5.045153357482347
32400.0,0.007252599183039005,2.5528400089646587e+23,2.1270036982509494e+17,3.091213211869886e+23,6.569380392753745e+16,1.3840364149550254e+19,2.8792669710387157e-28,3.922994064300861e-24,4.096356780252755e-10,9.783847630719942e-09,2.8597626229758316e+16,9.591212184113697e+23,5.9580589785967336e+23,5.6440553478382415e+23,3.1400363075849205e+22,1.8914999985045205e-11,5.429566640644808e-05,5.429568532144806e-05,5623949395.668454,243701727.03329194,5419449816.241399,226904596.61590642,1.0001101838643665,6377151706504.802,0.5278906252418977,5.3009057631650015e-05,1.7721178535012265e-06,1.7721178535012265e-06,9.566749672721124e-06,9.566749672721124e-06,321195772465.2018,1.7721178535012265e-06,42.84684018965375,3.569960797454056e-05,51.88289043419206,5.270233676546241
36000.0,0.008058443536710007,2.6735414846623655e+23,3.3408561920567546e+17,3.583960520389211e+23,8.765432586459714e+16,1.3834424329646475e+19,3.3950468363671683e-28,4.7185678196869645e-24,4.32765256161553e-10,1.0404962773285143e-08,4.661285752898255e+16,1.1916983600688035e+24,6.620065531774148e+23,6.257505345907768e+23,3.6256018586638033e+22,2.9759054172049734e-11,6.527866944576427e-05,6.527869920481844e-05,5419449816.249589,227405005.64389256,5129801823.02635,213359725.38987595,1.000135752433224,7115690565267.571,0.44687666517777586,4.477524811986896e-05,1.928373649214881e-06,1.928373649214881e-06,1.1495123321936004e-05,1.1495123321936004e-05,490226390656.3753,1.928373649214881e-06,40.385423253444266,5.0465606058153626e-05,54.137840527217946,5.4766857537317435
