time,burnup_percent_fima,c,mb,md,Nb,Nd,Vb,Vd,Rb,Rd,nvb,nvd,generated,retained,q_gb,swelling_b,swelling_d,swelling_ig,p_b,p_d,p_b_eq,p_d_eq,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent
0.0,0.0,0.0,0.0,0.0,0.0,2.2922836911790813e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2220000000000000.0,2220000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600.0,0.000786684038671344,5.012407048036615e+22,0.0,1.3200569007897682e+22,0.0,2.2921925845323985e+19,0.0,6.195484189854893e-26,0.0,2.454683751844572e-09,0.0,1.0202974035579391e+22,6.462662256154814e+22,6.332463948826383e+22,1.301983073284307e+21,0.0,1.42012429175731e-06,1.42012429175731e-06,0.0,978293155.8143301,2220000000000000.0,904393487.8909682,1.0,0.0,0.0,0.0,1.9895222379591703e-07,1.9895222379591703e-07,1.9895222379591703e-07,1.9895222379591703e-07,0.0,1.9895222379591703e-07,77.55947702919138,0.0,20.425899551420812,2.0146234193877977
7200.0,0.001573368077342688,8.984909223661843e+22,0.0,3.6561643479126445e+22,7706196912412799.0,2.2920270367443292e+19,0.0,1.745518953298224e-25,0.0,3.4669319705693005e-09,0.0,3.056816031667888e+22,1.2925324512309627e+23,1.2641073571574488e+23,2.8425094073513945e+21,0.0,4.0007766341091915e-06,4.0007766341091915e-06,0.0,904397913.917211,2220000000000000.0,640335610.5183272,1.0000035503198046,2140611027387.4092,0.0,0.001739455132057915,3.6155069724829145e-07,3.6155069724829145e-07,5.605029210442084e-07,5.605029210442084e-07,2786181874.1614776,3.6155069724829145e-07,69.51399336322217,0.0,28.286828268262365,2.199178368515458
10800.0,0.0023600521160140322,1.2219403115334929e+23,1028592382612897.5,6.706274582462844e+22,3.2467564285239596e+16,2.2917696289982444e+19,2.7200595026790197e-30,3.496781935963733e-25,8.659575407755542e-11,4.370454939283234e-09,30236726935872.582,7.918931997009108e+22,1.938798676846444e+23,1.892567780065701e+23,4.623089678074306e+21,8.831370676290792e-14,8.013818640071367e-06,8.013818728385073e-06,25722410853.56304,640350661.6592059,25636360854.502884,507956272.47997344,1.0000100020136136,6878163288418.374,0.0,0.0006272871177378438,6.303357490490298e-07,6.303357490490298e-07,1.1908386700932382e-06,1.1908386700932382e-06,23251661227.81876,6.303357490490298e-07,63.02564191559289,5.305307842926507e-07,34.58984505483027,2.384512499046058
14400.0,0.003146736154685376,1.4909748926504464e+23,8312961104536137.0,1.0282658464653842e+23,7.82656139437477e+16,2.2914362608384262e+19,9.119775399430044e-30,5.765730427543443e-25,1.2960801058319576e-10,5.163235190408458e-09,245189866584105.53,1.5305847981420038e+23,2.5850649024619254e+23,2.5192408222454412e+23,6.582408021648423e+21,7.137648206654792e-13,1.3211803771892488e-05,1.3211804485657308e-05,25636360854.502903,507985318.08427083,17128570911.71055,429962982.1480935,1.0000200348355994,12721697923328.307,0.0,0.0003418519547232384,8.032317148909149e-07,8.032317148909149e-07,1.994070384984153e-06,1.994070384984153e-06,86117135028.38786,8.032317148909149e-07,57.67649745391282,3.2157649491195223e-06,39.777177179810835,2.5463221505114118
18000.0,0.00393342019335672,1.7198951362175547e+23,3.060592907612662e+16,1.4244971669617046e+23,1.4645038075029632e+17,2.2910377735337095e+19,1.8033246673973397e-29,8.479191410322414e-25,1.6267785525235216e-10,5.871583976592293e-09,1351100275088098.8,2.5048841759087113e+23,3.2313311280774065e+23,3.1443926092385494e+23,8.693851883885705e+21,2.6409758415674187e-12,1.9426147810071217e-05,1.9426150451047057e-05,17128570911.710615,430008544.6968355,13646602339.059921,378092182.4247548,1.0000330302949287,18940252078180.91,0.0,0.00022289440197123162,9.605626615445462e-07,9.605626615445462e-07,2.954633046528699e-06,2.954633046528699e-06,226792037673.16357,9.605626615445462e-07,53.22559242762801,9.471616452485539e-06,44.08391187718539,2.6904862235701654
21600.0,0.0047201042320280644,1.919131258677775e+23,7.962260333889973e+16,1.8490880998727724e+23,2.371802501080832e+17,2.290583042973767e+19,2.907834888214635e-29,1.1577355322280424e-24,1.9076281004001486e-10,6.5138874606861405e-09,4411791520183690.5,3.6973432996832715e+23,3.8775973536928875e+23,3.76822015477658e+23,1.0937719891630769e+22,6.896810060597573e-12,2.651889378369763e-05,2.651890068050769e-05,13646602339.060125,378155979.2296152,11637488457.704767,340810309.2659443,1.0000485670677648,25202813812997.582,0.0,0.00016085720327193543,1.0977672823920911e-06,1.0977672823920911e-06,4.05240032892079e-06,4.05240032892079e-06,487161042095.96497,1.0977672823920911e-06,49.4927936973668,2.0534004971679166e-05,47.6864390809367,2.8207466876915595
25200.0,0.005506788270699408,2.0962839036417017e+23,1.6905517013661523e+17,2.2945844724481007e+23,3.5014821768836563e+17,2.290079588560799e+19,4.1955351321673876e-29,1.5009612122885084e-24,2.1555904503738912e-10,7.102756943534445e-09,1.0984298812313502e+16,5.089658017472335e+23,4.5238635793083685e+23,4.390870066641503e+23,1.329935126668653e+22,1.4690591487773323e-11,3.437320635483385e-05,3.437322104542534e-05,11637488457.705208,340893399.9247448,10298802351.879677,312554690.75579727,1.0000663003992225,31380109369967.816,0.0,0.0001238917078843694,1.2170591240665998e-06,1.2170591240665998e-06,5.26945945298739e-06,5.26945945298739e-06,913312643860.9435,1.2170591240665998e-06,46.33835364156123,3.7369643706732036e-05,50.721787521252104,2.939821467542972
28800.0,0.006293472309370752,2.2569039516680444e+23,3.1382649158545344e+17,2.7555450336205983e+23,4.849345110047651e+17,2.28953372209738e+19,5.639605414538815e-29,1.8733528707940824e-24,2.378957608050253e-10,7.647338726083479e-09,2.3041249305767584e+16,6.664101179937283e+23,5.1701298049238495e+23,5.012452123553558e+23,1.5767768137029128e+22,2.7348392939592057e-11,4.289104571070988e-05,4.289107305910282e-05,10298802351.880495,312657661.7640082,9331818240.424505,290297066.6681787,1.0000859383329992,37440814988250.08,0.0,9.981363498400203e-05,1.3210865383877205e-06,1.3210865383877205e-06,6.5905459913751106e-06,6.5905459913751106e-06,1553953944691.5688,1.3210865383877205e-06,43.652752190450784,6.069992503603606e-05,53.297405241089194,3.0497818685349953
32400.0,0.007080156348042097,2.4050560616870618e+23,5.296044646619554e+17,3.2279877696574734e+23,6.411669568576445e+17,2.2889506798092136e+19,7.216539246840586e-29,2.271394932321952e-24,2.5827366349474596e-10,8.1545753064161e-09,4.291296389316033e+16,8.404429206530857e+23,5.8163960305393306e+23,5.6330491273891806e+23,1.8334690315015001e+22,4.627006507940537e-11,5.199110974453535e-05,5.1991156014600426e-05,9331818240.42586,290420187.93625814,8595533783.664944,272239806.06976336,1.0001072358932175,43398153172986.36,0.0,8.309513883035086e-05,1.4123756421821887e-06,1.4123756421821887e-06,8.002921633557299e-06,8.002921633557299e-06,2459523816134.213,1.4123756421821887e-06,41.34959258377822,9.105371468538867e-05,55.49807393975124,3.1522424227558834
36000.0,0.00786684038671344,2.543725188783605e+23,8.325332774424495e+17,3.708990550052088e+23,8.185838670947756e+17,2.288334773289537e+19,8.906225578965927e-29,2.6921971654347057e-24,2.7703524675735547e-10,8.629906381524453e-09,7.323722750205669e+16,1.0296239562975558e+24,6.462662256154812e+23,6.252724064168467e+23,2.099381919863448e+22,7.290492575648335e-11,6.160648390215762e-05,6.160655680708338e-05,8595533783.66701,272383146.8094241,8013420768.601379,257244969.04772243,1.000129989939185,49282814585332.836,0.0,7.091454996310166e-05,1.493149683552979e-06,1.493149683552979e-06,9.496071317110278e-06,9.496071317110278e-06,3681793883280.5146,1.493149683552979e-06,39.36032996867585,0.00012882203099033596,57.391062739195085,3.248478470098094
39600.0,0.008653524425384784,2.6751104292355108e+23,1.23911395453344e+18,4.196402497660258e+23,7.400856258613296e+16,2.2876895414395965e+19,1.4692964547989836e-27,3.1333917975289887e-24,7.052454189566395e-10,9.07769034803728e-09,1.1692205652691525e+17,1.2327001094090548e+24,7.108928481770293e+23,6.871525318035314e+23,2.374031637349783e+22,1.0874051863257386e-10,7.168227644439686e-05,7.16823851849155e-05,8013420768.608486,257408478.2789016,3147840369.2211604,244555598.93381846,1.0001540332905072,55129680487160.17,58.682327545929084,6.170077638212188e-05,3.0831979492025205e-06,3.0831979492025205e-06,1.2579269266312798e-05,1.2579269266312798e-05,3909977635205.182,3.0831979492025205e-06,37.63029036085259,0.00017430389934445804,59.03002834282634,3.339506992421722
43200.0,0.009440208464056129,2.8008427441262462e+23,1.1249739977405664e+18,4.688636450895035e+23,2.896738917765351e+17,2.2870178880134738e+19,3.5735855320610144e-28,3.593040467103682e-24,4.402221163297939e-10,9.5014779846479e-09,2.7022960638751587e+17,1.448592526306074e+24,7.755194707385774e+23,7.489490444761258e+23,2.6570426262451573e+22,1.035174428668434e-10,8.217347820622408e-05,8.217358172366695e-05,3147840369.2614875,244739159.49823877,5042908835.4499655,233647860.21574596,1.000179228816259,60971730792975.48,0.0635209167322093,5.451846585353374e-05,6.217591561325512e-07,6.217591561325512e-07,1.3201028422445349e-05,1.3201028422445349e-05,4090085141693.2837,3.0831979492025205e-06,36.11569857116318,0.0001450607032044187,60.458010763156516,3.4261456049771177
46800.0,0.010226892502727472,2.9221230678738816e+23,1.2129667609106125e+18,5.1845138199031564e+23,4.9350834556281184e+17,2.286322205666942e+19,2.2491375818609838e-28,4.069550299767451e-24,3.7726148599071266e-10,9.904197008189117e-09,2.70229228509431e+17,1.6763756769947955e+24,8.401460933001255e+23,8.106649017444647e+23,2.9481191555660805e+22,1.1099681669673574e-10,9.304303217436885e-05,9.304314317118554e-05,3394061625.8636975,233851322.56520778,5884512685.333196,224147399.14446685,1.0002054640855627,66837861447075.81,0.3467902011603584,4.8780268491994016e-05,1.398359306055424e-06,1.398359306055424e-06,1.4599387728500773e-05,1.4599387728500773e-05,4780188094338.943,3.0831979492025205e-06,34.78113022457406,0.00014437569496348346,61.709670035341006,3.509055364389969
50400.0,0.011013576541398815,3.039853225733476e+23,1.4565293296060365e+18,5.683156830354046e+23,6.579440931467567e+17,2.285604474925898e+19,2.0016840874632751e-28,4.561606995537062e-24,3.628849657231881e-10,1.0288287351080479e-08,2.702287880923178e+17,1.915255998013944e+24,9.047727158616736e+23,8.723024621380817e+23,3.2470253723591834e+22,1.316996221692318e-10,0.00010426029361852791,0.00010426042531815008,4075592605.5348177,224370602.74218065,6117641152.688139,215779354.15721598,1.0002326465426015,72751524741577.48,0.6859442255939698,4.410101147789949e-05,1.6297908099344189e-06,1.6297908099344189e-06,1.6229178538435192e-05,1.6229178538435192e-05,5852501078446.01,3.0831979492025205e-06,33.59797629218325,0.00016098289703827878,62.81308809076552,3.588774634154204
54000.0,0.011800260580070162,3.154709860475864e+23,1.817035152613241e+18,6.183908315463088e+23,7.990621693439328e+17,2.284866346292917e+19,2.0316642381704586e-28,5.06811930896516e-24,3.6468769415369624e-10,1.0655800319426332e-08,2.7022831669304864e+17,2.1645514970570144e+24,9.693993384232217e+23,9.338636346290477e+23,3.5535703794173964e+22,1.6234260335309752e-10,0.00011579975248051809,0.00011579991482312144,5084352096.426386,216022140.0873161,6087400358.138736,208337237.32160896,1.0002606996579206,78731826046878.14,0.8238871232630226,4.021878099410678e-05,1.7444450402807695e-06,1.7444450402807695e-06,1.7973623578715962e-05,1.7973623578715962e-05,7246423548255.165,3.0831979492025205e-06,32.542933912118855,0.00018743928127377754,63.791134059587215,3.6657445890126796
