block,parameter,top_n,min,median,max,direction_vs_1
D2_Dv_coalescence_escape,Dv_scale,25,1.7137626888781141,2.801701305865983,2.9904981173023537,high
D2_Dv_coalescence_escape,Dg_scale,25,0.40001852317987746,0.4019637328608267,0.4390177995474537,low
D2_Dv_coalescence_escape,D2_xe_scale,25,2.8493934065541233,3.933717871862224,4.493043617291536,high
D2_Dv_coalescence_escape,b_scale,25,0.3504599646453592,0.4304234131596001,0.5328690047927964,low
D2_Dv_coalescence_escape,gb_scale,25,2.955529917684304,3.94672845263979,3.9990550147385666,high
D2_Dv_coalescence_escape,gd_scale,25,3.6423778864645575,3.789377981182612,3.996502152259293,high
D2_Dv_coalescence_escape,coalescence_d_scale,25,0.21207738320973774,0.35897529570463926,0.4386620404021287,low
D2_Dv_coalescence_escape,capture_scale,25,0.12952010410021447,0.23557092932245002,0.26396196019708756,low
D3_Kd_rhod_coalescence_escape,f_n,25,1.2000217002889957e-08,1.930150748621001e-08,2.77744503733642e-08,near/mixed
D3_Kd_rhod_coalescence_escape,K_d,25,243257.43460940322,347794.00377234165,375235.76271275675,near/mixed
D3_Kd_rhod_coalescence_escape,rho_d,25,35653483327428.82,41288461102870.96,47200835029085.01,near/mixed
D3_Kd_rhod_coalescence_escape,fission_rate,25,5.235239908938837e+19,5.478740881860267e+19,6.019941726610984e+19,near/mixed
D3_Kd_rhod_coalescence_escape,Dv_scale,25,0.43530570078827874,0.48116333910057124,0.5478738180075478,low
D3_Kd_rhod_coalescence_escape,Dg_scale,25,1.0857121096756852,1.3296436318935518,2.096756440781693,near/mixed
D3_Kd_rhod_coalescence_escape,D2_xe_scale,25,2.3508192449946748,3.5247480853669253,4.728845530655963,high
D3_Kd_rhod_coalescence_escape,b_scale,25,0.2524439042052814,0.30933075896991225,0.3799912368552551,low
D3_Kd_rhod_coalescence_escape,gb_scale,25,3.2475664057858515,3.760397054287089,3.999722730738737,high
D3_Kd_rhod_coalescence_escape,gd_scale,25,1.3097487533010965,1.500979067413826,1.8064294343124894,high
D3_Kd_rhod_coalescence_escape,coalescence_d_scale,25,0.4845262198547021,0.7166833795078779,0.9224158699644412,near/mixed
